Sender -> Receiver: Amount
0 -> 44247 : 419194
0 -> 99661 : 433410
99661 -> 4369 : 126742
44247 -> 73655 : 17853
73655 -> 75594 : 10685
0 -> 50402 : 94219
50402 -> 24952 : 88791
44247 -> 90495 : 281630
73655 -> 1155 : 2311
0 -> 83171 : 25721
83171 -> 51651 : 1635
73655 -> 99702 : 4067
75594 -> 91271 : 3104
99661 -> 78522 : 229327
44247 -> 88651 : 66770
50402 -> 64655 : 3373
73655 -> 32979 : 711
99702 -> 53818 : 88
64655 -> 42987 : 131
64655 -> 48536 : 548
88651 -> 61780 : 45546
32979 -> 67298 : 397
42987 -> 32987 : 55
32987 -> 14553 : 29
53818 -> 9117 : 56
1155 -> 97189 : 1117
32987 -> 93945 : 15
83171 -> 43499 : 17520
97189 -> 74659 : 1019
75594 -> 40746 : 5639
61780 -> 13213 : 30143
99702 -> 99976 : 3189
32987 -> 31253 : 10
99976 -> 34541 : 840
34541 -> 17781 : 641
31253 -> 22224 : 5
9117 -> 64005 : 11
31253 -> 27890 : 2
42987 -> 84782 : 1
24952 -> 16299 : 81772
91271 -> 27549 : 2463
99661 -> 49190 : 69236
83171 -> 10694 : 452
78522 -> 85997 : 74529
83171 -> 28969 : 1743
88651 -> 5210 : 19198
27890 -> 73232 : 1
1155 -> 15139 : 902
27549 -> 66936 : 1674
97189 -> 61036 : 48
10694 -> 78238 : 242
0 -> 42893 : 1177
67298 -> 12188 : 121
22224 -> 49953 : 1
85997 -> 89031 : 46496
93945 -> 94154 : 5
78522 -> 73506 : 133895
16299 -> 81249 : 47930
75594 -> 54220 : 1612
27890 -> 45856 : 1
84782 -> 40462 : 1
93945 -> 14505 : 7
49190 -> 93935 : 22697
24952 -> 84972 : 5021
74659 -> 30210 : 738
15139 -> 39926 : 739
51651 -> 46947 : 235
43499 -> 25211 : 1034
9117 -> 38752 : 18
32987 -> 6714 : 1
24952 -> 504 : 1875
46947 -> 15890 : 234
97189 -> 21186 : 1
44247 -> 18701 : 3636
48536 -> 44743 : 95
83171 -> 92826 : 2490
504 -> 15756 : 385
5210 -> 53012 : 13549
49190 -> 17481 : 41409
61780 -> 2413 : 12153
9117 -> 83672 : 9
53818 -> 83885 : 29
53012 -> 10623 : 9244
61036 -> 65805 : 42
50402 -> 64214 : 87
64655 -> 97446 : 1446
67298 -> 90671 : 175
13213 -> 14940 : 7576
6714 -> 71694 : 1
4369 -> 27854 : 7834
99976 -> 94222 : 1906
13213 -> 74560 : 2301
2413 -> 45667 : 11921
39926 -> 15062 : 297
15756 -> 64354 : 116
10623 -> 65431 : 1756
54220 -> 85769 : 226
27549 -> 55485 : 57
43499 -> 73574 : 5524
92826 -> 12582 : 389
94222 -> 68912 : 1664
97446 -> 84888 : 733
55485 -> 51405 : 17
27549 -> 95712 : 235
43499 -> 10308 : 3909
73574 -> 94977 : 2557
94222 -> 48491 : 225
61780 -> 14846 : 433
22224 -> 95442 : 3
504 -> 26307 : 238
15890 -> 56070 : 109
5210 -> 74049 : 1492
49953 -> 2978 : 1
30210 -> 76829 : 632
14505 -> 91303 : 4
83885 -> 93672 : 6
15756 -> 59461 : 130
61036 -> 75290 : 2
93672 -> 52760 : 2
54220 -> 59774 : 64
40462 -> 43860 : 1
51651 -> 87576 : 659
22224 -> 32046 : 1
99661 -> 87552 : 3373
64214 -> 54917 : 20
10623 -> 77383 : 2296
15756 -> 66355 : 13
90495 -> 5279 : 14626
5210 -> 57916 : 2375
84888 -> 48197 : 260
12582 -> 94773 : 134
66355 -> 39590 : 13
17481 -> 30447 : 26633
75290 -> 10089 : 2
28969 -> 82957 : 599
55485 -> 67666 : 20
34541 -> 16758 : 100
53012 -> 69360 : 1029
85769 -> 61292 : 10
51405 -> 14777 : 2
45856 -> 56748 : 1
57916 -> 77418 : 1191
83672 -> 56062 : 3
51405 -> 76260 : 12
91303 -> 3920 : 3
97189 -> 22843 : 29
76829 -> 91653 : 143
94773 -> 47116 : 64
69360 -> 2681 : 169
28969 -> 46692 : 773
67666 -> 22988 : 9
74560 -> 15267 : 1476
53818 -> 37535 : 3
92826 -> 16620 : 1780
90671 -> 95783 : 5
95783 -> 82600 : 5
9117 -> 38162 : 5
2978 -> 59401 : 1
56070 -> 58502 : 95
9117 -> 65515 : 9
88651 -> 77243 : 849
45667 -> 65730 : 2090
54220 -> 17688 : 163
56062 -> 89608 : 1
43860 -> 25654 : 1
66936 -> 76895 : 1538
54220 -> 5951 : 46
53012 -> 31555 : 1247
59774 -> 35638 : 50
17688 -> 66112 : 120
0 -> 43767 : 11771
48491 -> 98421 : 66
98421 -> 42507 : 37
42507 -> 62532 : 21
94773 -> 91033 : 64
73232 -> 10918 : 1
16758 -> 20041 : 61
14505 -> 54475 : 3
99976 -> 2787 : 156
44743 -> 54399 : 41
78238 -> 8348 : 41
83885 -> 26313 : 13
77418 -> 73498 : 884
57916 -> 63048 : 477
54399 -> 13629 : 18
76895 -> 61729 : 371
91303 -> 10675 : 1
42987 -> 45452 : 50
45452 -> 74239 : 14
77418 -> 23292 : 119
87552 -> 43392 : 2607
15062 -> 12356 : 186
26307 -> 37018 : 224
94154 -> 29311 : 5
85997 -> 64332 : 21036
5279 -> 59612 : 6385
74659 -> 29289 : 145
78522 -> 87193 : 3849
4369 -> 14123 : 32458
47116 -> 84123 : 32
43499 -> 18834 : 3040
50402 -> 8204 : 1968
43499 -> 506 : 569
31555 -> 97353 : 345
64655 -> 93751 : 45
76260 -> 45721 : 8
75594 -> 20915 : 21
23292 -> 80191 : 26
77243 -> 56575 : 466
37535 -> 6851 : 3
59774 -> 68444 : 8
56748 -> 26418 : 1
64005 -> 75542 : 8
10308 -> 24530 : 1139
54917 -> 91340 : 13
56575 -> 3400 : 301
68444 -> 76035 : 4
42507 -> 5384 : 13
44247 -> 97053 : 47864
16299 -> 17554 : 17243
81249 -> 48250 : 21722
51651 -> 9486 : 562
16758 -> 54631 : 27
59401 -> 60686 : 1
91033 -> 61855 : 11
26313 -> 63494 : 9
69360 -> 46010 : 709
24952 -> 46276 : 47
5384 -> 59468 : 12
83885 -> 86340 : 7
29311 -> 21334 : 4
76035 -> 489 : 4
94773 -> 49610 : 3
74239 -> 33066 : 6
46276 -> 35346 : 31
65431 -> 82191 : 51
83672 -> 11840 : 5
25654 -> 4462 : 1
39590 -> 47934 : 3
64214 -> 89626 : 7
5279 -> 26976 : 1413
0 -> 66837 : 8765
46692 -> 6073 : 504
38752 -> 11191 : 3
27549 -> 64599 : 134
78238 -> 73383 : 38
91340 -> 22699 : 12
22843 -> 78004 : 27
12582 -> 37174 : 10
30447 -> 35328 : 25434
88651 -> 2711 : 397
48491 -> 20979 : 93
54475 -> 5413 : 1
98421 -> 5619 : 18
29289 -> 3935 : 113
94977 -> 98292 : 1378
15062 -> 28736 : 61
46692 -> 84161 : 190
10694 -> 52731 : 21
54917 -> 67651 : 4
85997 -> 11149 : 6677
99661 -> 93861 : 2005
1155 -> 75220 : 22
88651 -> 19516 : 232
76895 -> 17709 : 1134
73655 -> 65556 : 46
89626 -> 23966 : 4
46692 -> 94527 : 10
98421 -> 44733 : 10
14846 -> 76868 : 382
2413 -> 1330 : 63
89608 -> 52622 : 1
85769 -> 23073 : 137
9117 -> 25027 : 3
78522 -> 3858 : 10030
17481 -> 48229 : 135
5413 -> 38351 : 1
23292 -> 59959 : 72
45721 -> 46944 : 7
73574 -> 67962 : 849
43499 -> 17574 : 3367
16299 -> 56574 : 11964
24530 -> 91856 : 774
90495 -> 75243 : 38903
48536 -> 47576 : 103
89031 -> 98642 : 39427
54475 -> 90162 : 1
30210 -> 55117 : 91
65730 -> 98300 : 306
61780 -> 98621 : 256
82600 -> 5677 : 2
62532 -> 78014 : 2
93945 -> 17492 : 1
10694 -> 74846 : 82
3858 -> 61330 : 1641
67666 -> 76612 : 7
14123 -> 89239 : 11986
47576 -> 9451 : 23
42893 -> 37749 : 1081
65431 -> 43494 : 855
28969 -> 13512 : 300
56575 -> 4343 : 27
29311 -> 73604 : 1
11840 -> 66149 : 3
1330 -> 10294 : 15
18834 -> 3260 : 2942
16758 -> 58482 : 11
54220 -> 31628 : 727
4343 -> 93326 : 4
84888 -> 88520 : 189
12356 -> 82443 : 110
20979 -> 35223 : 22
65805 -> 50333 : 33
82600 -> 20775 : 1
78014 -> 50973 : 1
17574 -> 92330 : 978
43494 -> 51870 : 392
66112 -> 95804 : 55
20915 -> 61502 : 16
61036 -> 15346 : 4
13213 -> 40301 : 16029
10089 -> 27324 : 1
56070 -> 8797 : 13
489 -> 84642 : 4
47934 -> 96393 : 3
10294 -> 39834 : 5
32979 -> 42277 : 17
76895 -> 13972 : 28
4369 -> 98525 : 70621
73604 -> 92845 : 1
51651 -> 75280 : 118
83672 -> 7552 : 1
5619 -> 44965 : 4
43494 -> 19737 : 181
75594 -> 72262 : 118
59468 -> 44718 : 9
85769 -> 94910 : 43
506 -> 69415 : 511
73574 -> 52699 : 717
82600 -> 77323 : 1
17481 -> 91601 : 9435
68912 -> 33621 : 474
50333 -> 88354 : 7
43767 -> 99306 : 5274
10694 -> 36733 : 21
99306 -> 72754 : 1603
74049 -> 16380 : 1183
64214 -> 30212 : 42
97446 -> 58019 : 16
57916 -> 34165 : 494
58502 -> 22395 : 8
54917 -> 77966 : 3
48536 -> 96964 : 290
4343 -> 98519 : 19
25211 -> 74592 : 713
26307 -> 35061 : 3
14553 -> 64719 : 21
91340 -> 96815 : 1
4343 -> 61670 : 1
42277 -> 50094 : 3
64214 -> 79396 : 8
14553 -> 12157 : 7
74560 -> 19432 : 811
45667 -> 12441 : 5825
64719 -> 85520 : 20
46010 -> 90027 : 600
97446 -> 69559 : 636
96964 -> 26393 : 120
76829 -> 17715 : 420
82443 -> 35245 : 44
59774 -> 44875 : 5
17492 -> 72223 : 1
20041 -> 15075 : 41
16299 -> 10247 : 2497
44743 -> 75353 : 2
20979 -> 24003 : 67
69415 -> 49502 : 279
18834 -> 70128 : 88
22843 -> 79539 : 1
4462 -> 66280 : 1
98300 -> 70650 : 306
