Sender -> Receiver: Amount
0 -> 57425 : 173896
57425 -> 65968 : 136881
0 -> 45210 : 98103
45210 -> 14904 : 52058
57425 -> 61370 : 3385
61370 -> 32513 : 1846
61370 -> 81907 : 706
65968 -> 28824 : 108347
28824 -> 90162 : 102730
65968 -> 74271 : 10556
0 -> 47650 : 470365
45210 -> 27594 : 2802
45210 -> 37579 : 2498
57425 -> 13036 : 28314
47650 -> 82664 : 111490
45210 -> 25308 : 25490
0 -> 4063 : 48968
82664 -> 77709 : 76799
14904 -> 82129 : 51463
13036 -> 48449 : 26775
81907 -> 20061 : 215
90162 -> 15018 : 70685
13036 -> 33095 : 366
14904 -> 68656 : 588
15018 -> 80435 : 13422
57425 -> 80656 : 2389
57425 -> 84270 : 330
90162 -> 57491 : 823
27594 -> 74622 : 1636
15018 -> 7293 : 19859
45210 -> 55202 : 14501
81907 -> 50280 : 303
45210 -> 17354 : 702
74622 -> 81267 : 1338
80656 -> 70718 : 1100
7293 -> 33106 : 4200
15018 -> 93317 : 35751
82664 -> 19460 : 4541
57491 -> 88240 : 555
81907 -> 42020 : 5
42020 -> 75112 : 5
0 -> 64240 : 61729
70718 -> 84214 : 841
82129 -> 14595 : 20601
57425 -> 87841 : 633
20061 -> 78411 : 83
37579 -> 58868 : 1795
27594 -> 37128 : 3
74622 -> 7670 : 4
0 -> 40170 : 115077
55202 -> 89291 : 3147
65968 -> 77622 : 14988
82664 -> 67556 : 18499
81907 -> 58686 : 70
14595 -> 21546 : 8916
82129 -> 81895 : 11412
81907 -> 3957 : 35
65968 -> 17169 : 1914
40170 -> 98338 : 19795
61370 -> 15405 : 753
28824 -> 62765 : 5260
80435 -> 60702 : 2069
50280 -> 93763 : 59
48449 -> 5743 : 15355
60702 -> 37465 : 1676
81907 -> 81154 : 43
17354 -> 98080 : 153
20061 -> 33148 : 22
81154 -> 66960 : 14
77709 -> 86304 : 3474
86304 -> 30341 : 2749
30341 -> 45015 : 2087
62765 -> 40478 : 3048
62765 -> 97684 : 2130
40170 -> 61074 : 67064
93317 -> 46149 : 18891
19460 -> 79398 : 3173
90162 -> 83659 : 28358
84270 -> 18309 : 182
21546 -> 54809 : 7024
61370 -> 23852 : 52
4063 -> 5649 : 14332
81895 -> 72418 : 7019
93763 -> 58212 : 50
81154 -> 5172 : 14
98338 -> 10111 : 18035
3957 -> 58057 : 35
74271 -> 28251 : 479
4063 -> 41635 : 11613
80656 -> 94441 : 338
87841 -> 40641 : 24
14595 -> 66552 : 11275
18309 -> 3485 : 40
93763 -> 83452 : 7
90162 -> 2882 : 1060
40478 -> 80201 : 1303
40478 -> 80411 : 1136
54809 -> 46960 : 2956
45015 -> 18808 : 2014
48449 -> 52881 : 4243
46960 -> 1060 : 2169
97684 -> 66197 : 1431
93763 -> 2445 : 2
33106 -> 1378 : 1537
17169 -> 11355 : 1740
80411 -> 45491 : 1057
2882 -> 68674 : 202
28824 -> 90814 : 28
40478 -> 72854 : 87
50280 -> 37328 : 56
27594 -> 64305 : 1089
4063 -> 60620 : 17975
74622 -> 10771 : 165
18309 -> 5966 : 48
98338 -> 42748 : 1063
5172 -> 19190 : 8
88240 -> 97710 : 535
45015 -> 5433 : 51
74622 -> 49168 : 4
72854 -> 30865 : 46
37465 -> 43307 : 653
78411 -> 20817 : 12
97710 -> 6644 : 432
89291 -> 17522 : 3082
5433 -> 6765 : 3
3485 -> 37639 : 34
10771 -> 42150 : 135
13036 -> 17765 : 1037
80411 -> 31125 : 34
45491 -> 33548 : 866
5966 -> 98079 : 6
2445 -> 12769 : 2
74271 -> 95392 : 5578
20817 -> 22078 : 2
58868 -> 48976 : 722
75112 -> 41941 : 1
82664 -> 11823 : 9738
37328 -> 90570 : 8
10771 -> 47545 : 28
78411 -> 17072 : 17
1378 -> 37403 : 1415
14904 -> 23237 : 3
50280 -> 95462 : 176
48449 -> 69802 : 176
90814 -> 91090 : 8
17354 -> 49127 : 121
62765 -> 99845 : 52
64305 -> 62824 : 746
78411 -> 98867 : 15
18309 -> 8181 : 66
18309 -> 86594 : 26
72418 -> 45223 : 2636
82664 -> 8038 : 754
5743 -> 99935 : 8305
68656 -> 4333 : 513
82129 -> 40128 : 3365
37403 -> 65257 : 1072
98080 -> 64949 : 4
64305 -> 11437 : 109
4063 -> 32960 : 2201
89291 -> 91029 : 4
79398 -> 35495 : 955
99845 -> 41266 : 24
41941 -> 37252 : 1
12769 -> 36467 : 1
70718 -> 29613 : 42
49127 -> 12495 : 37
89291 -> 79455 : 4
90162 -> 34699 : 696
13036 -> 18093 : 133
23237 -> 36465 : 2
58057 -> 45333 : 30
97710 -> 40841 : 15
17354 -> 41403 : 318
17169 -> 48411 : 172
5172 -> 65110 : 1
66552 -> 20913 : 8336
29613 -> 67423 : 30
64305 -> 8565 : 175
67423 -> 53279 : 10
45210 -> 31981 : 8
19190 -> 21330 : 7
37403 -> 64654 : 162
11355 -> 41295 : 1480
66960 -> 98779 : 9
77622 -> 42115 : 9495
55202 -> 8992 : 6704
58057 -> 17769 : 3
80435 -> 48389 : 486
80411 -> 1868 : 12
33106 -> 60884 : 1184
94441 -> 73285 : 52
86594 -> 47043 : 2
68656 -> 21669 : 51
91090 -> 66631 : 5
55202 -> 53298 : 116
67556 -> 74266 : 12828
6765 -> 63144 : 2
81267 -> 71198 : 1051
4063 -> 92564 : 670
68674 -> 40542 : 65
