Sender -> Receiver: Amount
0 -> 298 : 339218
298 -> 873 : 271006
0 -> 944 : 656362
0 -> 853 : 3262
0 -> 973 : 722
973 -> 607 : 68
973 -> 555 : 523
0 -> 85 : 302
85 -> 924 : 7
924 -> 854 : 6
0 -> 103 : 53
103 -> 764 : 10
873 -> 672 : 163741
607 -> 553 : 37
944 -> 60 : 496490
672 -> 652 : 74479
60 -> 584 : 154714
853 -> 461 : 289
298 -> 181 : 25899
854 -> 295 : 6
298 -> 812 : 33985
853 -> 18 : 2506
18 -> 935 : 1447
935 -> 960 : 1180
652 -> 413 : 53260
60 -> 248 : 248810
960 -> 697 : 1026
584 -> 567 : 144057
607 -> 868 : 6
812 -> 545 : 26393
103 -> 161 : 12
545 -> 477 : 11227
248 -> 797 : 238588
697 -> 185 : 516
185 -> 572 : 25
85 -> 474 : 206
944 -> 584 : 25298
181 -> 203 : 23602
0 -> 866 : 2
935 -> 304 : 30
181 -> 286 : 1187
304 -> 574 : 4
973 -> 769 : 73
298 -> 670 : 6320
545 -> 67 : 1501
812 -> 387 : 5577
477 -> 52 : 3102
853 -> 471 : 404
652 -> 198 : 5669
584 -> 261 : 23104
298 -> 822 : 1018
697 -> 526 : 337
181 -> 517 : 870
103 -> 722 : 24
670 -> 119 : 5810
764 -> 924 : 5
574 -> 591 : 4
298 -> 22 : 615
286 -> 28 : 685
286 -> 283 : 51
248 -> 708 : 2548
567 -> 569 : 37767
591 -> 241 : 2
304 -> 907 : 22
569 -> 745 : 5248
769 -> 565 : 17
471 -> 570 : 212
555 -> 560 : 154
708 -> 234 : 2051
764 -> 902 : 4
28 -> 89 : 311
28 -> 325 : 345
181 -> 255 : 180
526 -> 868 : 275
198 -> 984 : 5613
261 -> 418 : 6206
973 -> 189 : 25
261 -> 745 : 2585
873 -> 410 : 97739
85 -> 213 : 46
670 -> 338 : 147
570 -> 518 : 63
255 -> 507 : 86
555 -> 421 : 61
607 -> 887 : 21
565 -> 665 : 12
181 -> 283 : 28
670 -> 860 : 215
697 -> 36 : 68
745 -> 384 : 1714
28 -> 498 : 1
286 -> 620 : 352
198 -> 562 : 39
22 -> 821 : 349
413 -> 506 : 48521
670 -> 843 : 51
255 -> 498 : 75
518 -> 29 : 6
286 -> 228 : 78
652 -> 382 : 7073
418 -> 800 : 6167
181 -> 666 : 1
67 -> 885 : 1012
572 -> 416 : 8
665 -> 392 : 11
517 -> 337 : 600
67 -> 186 : 381
666 -> 845 : 1
410 -> 181 : 55873
797 -> 453 : 187893
984 -> 408 : 1335
338 -> 925 : 97
555 -> 771 : 134
416 -> 336 : 5
769 -> 375 : 53
248 -> 899 : 2206
545 -> 836 : 181
474 -> 836 : 88
413 -> 294 : 2127
89 -> 430 : 55
845 -> 154 : 1
295 -> 891 : 4
960 -> 191 : 80
860 -> 118 : 56
771 -> 784 : 57
764 -> 501 : 1
304 -> 0 : 2
67 -> 422 : 60
873 -> 134 : 8105
984 -> 255 : 251
665 -> 455 : 1
28 -> 270 : 18
154 -> 647 : 1
29 -> 414 : 5
474 -> 37 : 74
387 -> 567 : 244
567 -> 695 : 45500
286 -> 484 : 18
422 -> 766 : 34
498 -> 531 : 60
213 -> 52 : 44
924 -> 993 : 4
241 -> 1 : 2
410 -> 293 : 27996
191 -> 375 : 68
562 -> 37 : 30
708 -> 40 : 148
584 -> 731 : 8440
531 -> 321 : 36
821 -> 831 : 133
560 -> 996 : 74
647 -> 185 : 1
853 -> 729 : 54
484 -> 403 : 18
517 -> 204 : 42
708 -> 919 : 6
565 -> 960 : 5
560 -> 51 : 76
584 -> 261 : 1473
925 -> 702 : 85
919 -> 158 : 6
784 -> 679 : 45
203 -> 217 : 20867
471 -> 170 : 110
620 -> 144 : 147
234 -> 773 : 1168
0 -> 800 : 48
708 -> 147 : 169
413 -> 414 : 2208
843 -> 113 : 37
702 -> 759 : 40
899 -> 827 : 614
298 -> 294 : 115
860 -> 522 : 116
119 -> 245 : 5622
569 -> 419 : 934
293 -> 532 : 20974
89 -> 174 : 228
672 -> 671 : 3465
455 -> 803 : 1
531 -> 88 : 6
36 -> 177 : 8
336 -> 501 : 5
891 -> 637 : 2
0 -> 629 : 31
993 -> 264 : 3
531 -> 58 : 11
119 -> 202 : 13
403 -> 713 : 7
1 -> 149 : 1
545 -> 915 : 3940
185 -> 465 : 332
430 -> 828 : 47
204 -> 939 : 40
185 -> 992 : 125
672 -> 223 : 80889
465 -> 375 : 70
526 -> 451 : 13
671 -> 938 : 731
161 -> 42 : 12
203 -> 993 : 404
202 -> 534 : 13
996 -> 399 : 37
204 -> 198 : 2
88 -> 242 : 4
22 -> 851 : 13
416 -> 155 : 2
560 -> 558 : 1
532 -> 534 : 10881
321 -> 704 : 31
534 -> 467 : 947
22 -> 202 : 247
283 -> 136 : 74
158 -> 724 : 6
