Sender -> Receiver: Amount
0 -> 63955 : 642948
63955 -> 87192 : 345759
87192 -> 13120 : 168465
87192 -> 49441 : 137005
0 -> 85729 : 321244
0 -> 84764 : 30032
49441 -> 99440 : 48470
99440 -> 17478 : 20754
13120 -> 83936 : 48659
99440 -> 64630 : 7522
99440 -> 34483 : 17162
64630 -> 98275 : 654
13120 -> 78828 : 5597
83936 -> 3583 : 18166
84764 -> 39604 : 24823
17478 -> 52850 : 11695
0 -> 97065 : 649
17478 -> 63680 : 1051
64630 -> 92033 : 467
83936 -> 96312 : 27400
84764 -> 70164 : 2439
17478 -> 36122 : 3772
63955 -> 7029 : 282609
7029 -> 59147 : 64273
64630 -> 59164 : 1458
70164 -> 63367 : 369
87192 -> 50306 : 5757
36122 -> 18242 : 2997
92033 -> 50953 : 135
97065 -> 45023 : 374
39604 -> 68700 : 17097
83936 -> 44617 : 2837
44617 -> 62878 : 965
99440 -> 46737 : 471
63955 -> 29659 : 2111
59164 -> 28622 : 525
18242 -> 42120 : 1064
36122 -> 93550 : 23
49441 -> 70523 : 16907
39604 -> 82470 : 6463
13120 -> 79861 : 67281
83936 -> 49183 : 155
42120 -> 25164 : 564
79861 -> 33088 : 64005
93550 -> 86382 : 7
3583 -> 20528 : 297
33088 -> 27331 : 54955
34483 -> 48489 : 9545
68700 -> 57526 : 11704
17478 -> 81643 : 2552
81643 -> 59432 : 1255
63367 -> 3203 : 234
45023 -> 49124 : 262
84764 -> 65766 : 522
39604 -> 18402 : 1129
65766 -> 91254 : 404
68700 -> 84637 : 3899
82470 -> 50602 : 5287
93550 -> 73098 : 11
63955 -> 99688 : 1007
59164 -> 43490 : 552
73098 -> 71588 : 2
20528 -> 99020 : 228
68700 -> 70887 : 336
73098 -> 70575 : 7
70887 -> 19739 : 239
20528 -> 84587 : 21
3203 -> 62967 : 175
99020 -> 16549 : 207
52850 -> 92409 : 2368
62878 -> 65613 : 220
68700 -> 60047 : 1027
3203 -> 23758 : 37
43490 -> 24384 : 265
63367 -> 82525 : 107
57526 -> 43924 : 11554
59147 -> 81519 : 3400
91254 -> 91888 : 65
63955 -> 371 : 8169
81519 -> 63243 : 2656
59432 -> 74738 : 850
13120 -> 88149 : 30938
27331 -> 10545 : 641
63367 -> 81918 : 9
20528 -> 93764 : 10
18242 -> 88628 : 1310
64630 -> 38223 : 3383
84637 -> 21147 : 3563
49183 -> 87476 : 82
84764 -> 9864 : 952
98275 -> 18085 : 136
0 -> 22193 : 3423
23758 -> 49342 : 12
79861 -> 95639 : 1391
42120 -> 50206 : 364
81519 -> 44113 : 610
43490 -> 23719 : 52
