Sender -> Receiver: Amount
0 -> 33385 : 738668
0 -> 28059 : 132727
33385 -> 13938 : 5850
28059 -> 98646 : 65191
28059 -> 75469 : 51543
33385 -> 50789 : 557907
50789 -> 97618 : 417689
75469 -> 65009 : 44299
65009 -> 12207 : 24091
98646 -> 9501 : 2597
0 -> 94103 : 64220
9501 -> 24661 : 1310
94103 -> 55189 : 598
65009 -> 25529 : 1422
75469 -> 31746 : 3815
97618 -> 84862 : 249396
13938 -> 97990 : 1540
55189 -> 45364 : 588
31746 -> 64135 : 2442
31746 -> 34444 : 643
28059 -> 63118 : 8015
24661 -> 91682 : 1072
12207 -> 29657 : 6778
24661 -> 80650 : 112
65009 -> 16483 : 6886
13938 -> 99870 : 2767
34444 -> 82471 : 381
98646 -> 95249 : 46226
64135 -> 53372 : 1508
99870 -> 33732 : 2648
31746 -> 63783 : 317
45364 -> 80227 : 158
80650 -> 54484 : 22
28059 -> 73023 : 7460
65009 -> 13752 : 5853
0 -> 48727 : 939
0 -> 13715 : 47396
33385 -> 93569 : 168514
82471 -> 78896 : 174
25529 -> 58120 : 728
12207 -> 10789 : 4427
34444 -> 20877 : 260
45364 -> 28531 : 222
13752 -> 62517 : 726
82471 -> 90653 : 147
82471 -> 76756 : 38
62517 -> 51879 : 608
90653 -> 56414 : 98
56414 -> 1381 : 98
82471 -> 40489 : 12
13752 -> 68064 : 3390
90653 -> 38936 : 40
33385 -> 15958 : 147
45364 -> 41771 : 123
9501 -> 24538 : 1217
53372 -> 96049 : 1054
13752 -> 31571 : 244
40489 -> 36704 : 12
80650 -> 15875 : 44
13752 -> 75432 : 712
58120 -> 82895 : 490
28059 -> 741 : 389
15958 -> 18631 : 119
31746 -> 14936 : 240
36704 -> 17749 : 12
14936 -> 804 : 161
50789 -> 88974 : 49724
18631 -> 4260 : 119
741 -> 33552 : 91
75469 -> 21547 : 489
94103 -> 34812 : 37622
91682 -> 67562 : 1029
58120 -> 88895 : 152
51879 -> 49300 : 86
82895 -> 97669 : 383
93569 -> 99797 : 39902
16483 -> 58077 : 5544
96049 -> 86112 : 82
88895 -> 82203 : 79
76756 -> 94184 : 5
78896 -> 55167 : 116
97618 -> 78159 : 77070
65009 -> 27232 : 5498
17749 -> 67886 : 12
82895 -> 55428 : 20
55167 -> 37688 : 26
741 -> 55741 : 64
741 -> 9530 : 21
58120 -> 75789 : 31
1381 -> 14986 : 26
33732 -> 47247 : 2233
804 -> 29131 : 129
68064 -> 54436 : 652
38936 -> 28656 : 29
1381 -> 72778 : 29
38936 -> 13091 : 8
75789 -> 94491 : 24
37688 -> 20220 : 4
51879 -> 44169 : 515
58120 -> 82384 : 17
9530 -> 91459 : 21
97669 -> 24937 : 53
37688 -> 14569 : 10
88974 -> 33103 : 24333
75789 -> 50349 : 6
58077 -> 95505 : 3768
12207 -> 83020 : 11282
10789 -> 59793 : 1672
27232 -> 95833 : 1321
44169 -> 39036 : 495
14986 -> 90767 : 20
63118 -> 74178 : 3480
80650 -> 85091 : 26
99797 -> 42446 : 2413
94491 -> 13801 : 20
0 -> 28719 : 3312
74178 -> 16512 : 2776
86112 -> 93324 : 28
34812 -> 74110 : 29334
28719 -> 46064 : 2
33103 -> 92916 : 11793
91459 -> 52394 : 2
33103 -> 89100 : 2681
80227 -> 65353 : 11
99797 -> 75992 : 36902
38936 -> 14113 : 2
99870 -> 42614 : 91
73023 -> 25288 : 4921
0 -> 36255 : 224
55741 -> 52835 : 14
48727 -> 86672 : 378
29657 -> 25982 : 6658
28531 -> 68557 : 135
41771 -> 18148 : 33
25982 -> 58681 : 1984
10789 -> 4265 : 828
91682 -> 24024 : 8
88895 -> 63984 : 24
54436 -> 61405 : 543
50789 -> 68831 : 43905
804 -> 68273 : 25
96049 -> 37022 : 89
63118 -> 27862 : 1900
83020 -> 94 : 3100
62517 -> 4820 : 29
94184 -> 42146 : 3
95505 -> 48109 : 2847
20220 -> 95754 : 2
82471 -> 61261 : 5
90767 -> 68626 : 16
28719 -> 74857 : 1641
65353 -> 33003 : 10
94491 -> 88528 : 2
20220 -> 39813 : 1
90653 -> 91026 : 4
42446 -> 20795 : 1538
39813 -> 56420 : 1
804 -> 32120 : 4
20877 -> 55127 : 103
85091 -> 67312 : 24
25529 -> 95193 : 459
14986 -> 77093 : 1
78159 -> 51383 : 46348
99797 -> 24823 : 261
24937 -> 73259 : 24
75992 -> 71506 : 8485
92916 -> 42026 : 6927
61405 -> 1621 : 142
13938 -> 97944 : 1442
83020 -> 48507 : 7059
68064 -> 75260 : 2340
37688 -> 72848 : 6
42146 -> 7572 : 3
86672 -> 18366 : 85
34444 -> 60206 : 1
77093 -> 66566 : 1
20877 -> 61949 : 98
47247 -> 38811 : 69
20220 -> 34200 : 1
80650 -> 97033 : 13
24823 -> 94237 : 200
55189 -> 71715 : 3
20795 -> 98967 : 107
75992 -> 70578 : 19563
0 -> 66301 : 2698
78159 -> 21824 : 19187
18148 -> 56516 : 4
13091 -> 55770 : 2
29657 -> 45425 : 81
10789 -> 68616 : 1081
25288 -> 51050 : 3180
41771 -> 97137 : 37
24661 -> 67156 : 88
65009 -> 94121 : 151
25529 -> 42161 : 101
90767 -> 17215 : 4
70578 -> 15924 : 13647
34200 -> 68008 : 1
15924 -> 51990 : 4469
88895 -> 15257 : 24
31571 -> 74602 : 161
34812 -> 99708 : 3700
60206 -> 79079 : 1
13801 -> 76644 : 12
54436 -> 67392 : 108
67392 -> 84472 : 20
21547 -> 77165 : 220
31746 -> 9016 : 66
48727 -> 23225 : 183
79079 -> 70021 : 1
55428 -> 19372 : 19
23225 -> 62021 : 9
76756 -> 37164 : 26
7572 -> 38168 : 2
55428 -> 19387 : 1
72848 -> 94816 : 1
25982 -> 11586 : 2942
71715 -> 89919 : 1
23225 -> 65141 : 129
97669 -> 21164 : 102
97669 -> 60522 : 11
12207 -> 50276 : 263
60522 -> 40789 : 5
25529 -> 86140 : 17
68064 -> 67083 : 247
37164 -> 62479 : 14
55127 -> 63965 : 85
42026 -> 84535 : 2296
56420 -> 29714 : 1
68557 -> 43843 : 25
42026 -> 77570 : 4341
88528 -> 18352 : 2
42026 -> 90958 : 52
23225 -> 3277 : 1
77570 -> 44623 : 941
68557 -> 34049 : 46
13715 -> 88831 : 2833
24823 -> 21493 : 16
70021 -> 55875 : 1
23225 -> 70262 : 16
68008 -> 77121 : 1
31571 -> 38154 : 72
66566 -> 2682 : 1
27232 -> 48372 : 2796
23225 -> 56420 : 12
39036 -> 98937 : 364
51383 -> 47466 : 44806
40789 -> 71566 : 4
24538 -> 14475 : 936
38936 -> 40331 : 1
94121 -> 7911 : 72
55167 -> 36023 : 73
97669 -> 25594 : 66
74178 -> 69625 : 88
33732 -> 37840 : 342
62021 -> 11487 : 4
45364 -> 63784 : 71
75260 -> 17030 : 741
33103 -> 72102 : 2731
25529 -> 62375 : 68
99870 -> 88098 : 27
95833 -> 68979 : 1165
33103 -> 58134 : 976
19372 -> 26863 : 9
51383 -> 49181 : 110
94816 -> 53042 : 1
89100 -> 75055 : 1926
76756 -> 95017 : 1
37840 -> 70253 : 146
82895 -> 74587 : 25
77570 -> 48960 : 3103
89919 -> 64526 : 1
63784 -> 94298 : 28
37840 -> 73921 : 2
13801 -> 49702 : 7
97137 -> 85027 : 14
95249 -> 44668 : 36819
17030 -> 98244 : 657
94237 -> 86941 : 199
75055 -> 59576 : 1664
25288 -> 16866 : 27
13801 -> 12023 : 1
98937 -> 10177 : 242
93569 -> 83281 : 13993
75260 -> 11421 : 695
54436 -> 57936 : 1
14113 -> 68137 : 1
73921 -> 68548 : 2
97669 -> 34960 : 120
19372 -> 30788 : 10
49181 -> 16819 : 47
84472 -> 45795 : 1
70262 -> 48895 : 2
30788 -> 54238 : 7
21164 -> 1602 : 64
83020 -> 36042 : 349
77121 -> 58483 : 1
1381 -> 12497 : 37
48895 -> 17927 : 2
37688 -> 96005 : 1
52394 -> 98078 : 2
67392 -> 15044 : 55
21824 -> 85415 : 4796
45795 -> 778 : 1
4820 -> 80193 : 16
75055 -> 73360 : 33
48109 -> 11209 : 948
58120 -> 32409 : 13
45425 -> 9386 : 65
24937 -> 70728 : 21
90958 -> 81069 : 15
67083 -> 77446 : 201
51383 -> 26514 : 50
2682 -> 45181 : 1
50349 -> 44280 : 3
78159 -> 57245 : 1540
4820 -> 38989 : 13
21493 -> 41204 : 10
85091 -> 58898 : 1
48109 -> 84282 : 1631
68137 -> 49854 : 1
1381 -> 51259 : 2
11209 -> 69920 : 190
16866 -> 17105 : 9
77446 -> 3569 : 120
41204 -> 41225 : 1
65353 -> 79458 : 1
44668 -> 59369 : 34458
4260 -> 48885 : 1
38811 -> 84907 : 64
15958 -> 3944 : 27
73023 -> 84030 : 1792
23225 -> 34272 : 2
7911 -> 95870 : 44
75055 -> 88255 : 41
55189 -> 17871 : 5
57936 -> 5426 : 1
30788 -> 3986 : 3
95505 -> 20108 : 781
24823 -> 78542 : 20
20877 -> 37621 : 57
15958 -> 60565 : 1
56420 -> 46388 : 3
62375 -> 88786 : 40
20877 -> 86304 : 1
82203 -> 72482 : 70
38154 -> 18408 : 30
76644 -> 95285 : 10
48960 -> 19039 : 2150
0 -> 66273 : 290
89100 -> 76300 : 357
52835 -> 73612 : 8
12497 -> 78933 : 14
67886 -> 69845 : 5
71566 -> 94847 : 1
31746 -> 40608 : 52
18366 -> 6773 : 77
71566 -> 15858 : 1
804 -> 11496 : 1
48885 -> 58082 : 1
77446 -> 66099 : 40
95285 -> 78294 : 8
21164 -> 49522 : 27
11421 -> 19209 : 415
88895 -> 99260 : 7
51990 -> 77983 : 1564
18366 -> 91405 : 1
28719 -> 25573 : 902
14113 -> 87875 : 1
63784 -> 2182 : 9
63965 -> 20258 : 70
71566 -> 6099 : 1
58134 -> 56913 : 456
38989 -> 4406 : 6
36042 -> 46382 : 216
31571 -> 99785 : 2
70728 -> 24443 : 21
61405 -> 44602 : 321
17871 -> 31915 : 2
73360 -> 66966 : 26
16483 -> 54882 : 519
31746 -> 35484 : 48
39036 -> 57997 : 90
3986 -> 83913 : 3
20258 -> 91509 : 41
75789 -> 33588 : 1
21164 -> 91452 : 6
741 -> 36027 : 46
61261 -> 39092 : 5
91509 -> 800 : 37
70262 -> 57152 : 14
69625 -> 50597 : 29
58483 -> 87060 : 1
38154 -> 85814 : 14
88098 -> 56113 : 15
99870 -> 88580 : 1
54484 -> 34524 : 4
68831 -> 7639 : 36469
9386 -> 7419 : 21
45425 -> 57134 : 15
21547 -> 79855 : 35
82203 -> 36675 : 7
66966 -> 83998 : 5
74178 -> 92254 : 55
86304 -> 83893 : 1
36042 -> 51057 : 133
91682 -> 91173 : 22
98967 -> 80381 : 34
18352 -> 31389 : 2
54238 -> 7098 : 5
62375 -> 76012 : 18
63783 -> 47246 : 114
53372 -> 2200 : 425
95833 -> 81035 : 110
78896 -> 29629 : 20
3277 -> 93235 : 1
75469 -> 76009 : 2928
44668 -> 36313 : 1477
28531 -> 39222 : 2
36313 -> 54326 : 355
97033 -> 53996 : 13
29629 -> 63713 : 11
71506 -> 53691 : 3039
85415 -> 6184 : 4015
6773 -> 35684 : 13
49854 -> 99804 : 1
65009 -> 30636 : 12
38811 -> 58161 : 2
94847 -> 54574 : 1
93324 -> 78664 : 24
33003 -> 84154 : 4
78933 -> 1137 : 1
11586 -> 21355 : 1007
84030 -> 8825 : 1309
9016 -> 90449 : 49
73360 -> 61893 : 6
35484 -> 82378 : 8
63965 -> 91834 : 1
96049 -> 13626 : 742
72102 -> 81362 : 2626
62375 -> 99847 : 6
27232 -> 17126 : 187
68273 -> 88866 : 25
75992 -> 48560 : 3371
88895 -> 3830 : 13
64526 -> 71138 : 1
60565 -> 59760 : 1
83998 -> 6496 : 5
88580 -> 87382 : 1
81362 -> 26660 : 561
1602 -> 45470 : 53
39092 -> 13466 : 3
61405 -> 9738 : 22
7419 -> 27120 : 11
40789 -> 52356 : 1
3830 -> 21579 : 12
24024 -> 78850 : 2
52835 -> 41983 : 6
37840 -> 93849 : 163
70253 -> 28767 : 28
54574 -> 43140 : 1
54484 -> 20866 : 7
55875 -> 70135 : 1
35484 -> 51125 : 16
43843 -> 43041 : 25
63783 -> 97800 : 24
66099 -> 55703 : 10
56516 -> 86240 : 1
95505 -> 70354 : 3
94184 -> 48353 : 1
20877 -> 17241 : 1
15924 -> 93569 : 1023
83020 -> 41821 : 756
15924 -> 49492 : 2952
51879 -> 40457 : 7
21164 -> 29720 : 1
13466 -> 37770 : 2
95505 -> 79183 : 92
