Sender -> Receiver: Amount
0 -> 57214 : 885732
57214 -> 29087 : 736506
57214 -> 79528 : 116804
29087 -> 77089 : 182043
77089 -> 39593 : 177054
39593 -> 96408 : 16048
39593 -> 16101 : 150392
79528 -> 71319 : 45348
57214 -> 4589 : 5181
71319 -> 8190 : 29214
79528 -> 99152 : 23902
77089 -> 66132 : 4559
4589 -> 16676 : 282
8190 -> 86787 : 27208
0 -> 23218 : 39002
23218 -> 68057 : 33126
86787 -> 32795 : 9428
0 -> 10126 : 32004
0 -> 40927 : 26790
71319 -> 354 : 3697
66132 -> 66419 : 4508
86787 -> 8454 : 17062
79528 -> 38912 : 3186
40927 -> 62253 : 16840
40927 -> 88270 : 5887
62253 -> 99128 : 5689
32795 -> 91730 : 7164
96408 -> 56078 : 10625
16676 -> 41913 : 270
38912 -> 69004 : 2106
79528 -> 12971 : 166
68057 -> 63402 : 5003
38912 -> 58436 : 1037
12971 -> 67269 : 128
16676 -> 29707 : 4
67269 -> 65670 : 55
71319 -> 77821 : 10148
65670 -> 37012 : 40
10126 -> 51643 : 23094
8454 -> 61276 : 12836
8190 -> 57660 : 385
38912 -> 4763 : 32
96408 -> 38106 : 4041
57214 -> 21849 : 17161
58436 -> 66025 : 529
66025 -> 49396 : 108
41913 -> 53877 : 62
77089 -> 77688 : 192
71319 -> 45226 : 637
4589 -> 2591 : 529
32795 -> 34192 : 1303
12971 -> 41039 : 38
2591 -> 45634 : 41
65670 -> 56448 : 6
4763 -> 16053 : 3
57660 -> 90844 : 354
4763 -> 14719 : 20
66025 -> 71248 : 256
90844 -> 24307 : 21
51643 -> 54233 : 20939
66132 -> 12902 : 50
53877 -> 70507 : 11
88270 -> 12128 : 3346
57214 -> 39357 : 1729
16101 -> 86755 : 12160
354 -> 25380 : 3514
66025 -> 61344 : 136
41039 -> 74953 : 32
54233 -> 38896 : 19658
57214 -> 63926 : 6144
25380 -> 71979 : 2725
49396 -> 80313 : 12
66419 -> 44654 : 4147
63402 -> 61431 : 1802
29707 -> 70093 : 4
8190 -> 77663 : 498
61344 -> 54319 : 92
16101 -> 30035 : 32560
21849 -> 17142 : 6131
71979 -> 6517 : 217
88270 -> 48143 : 759
91730 -> 98900 : 1561
57660 -> 28746 : 27
41039 -> 67626 : 5
69004 -> 71360 : 1191
77089 -> 45628 : 72
16101 -> 89756 : 43716
63926 -> 67749 : 61
86787 -> 63076 : 450
32795 -> 31520 : 951
61276 -> 9159 : 10661
54233 -> 18274 : 829
30035 -> 68444 : 28949
31520 -> 59019 : 528
99128 -> 36427 : 3111
8190 -> 60325 : 897
4589 -> 3522 : 2040
69004 -> 17436 : 385
38106 -> 92242 : 2252
21849 -> 36529 : 4645
68444 -> 66970 : 14176
18274 -> 68501 : 148
86787 -> 87397 : 181
66970 -> 85190 : 5365
37012 -> 55929 : 24
57660 -> 34107 : 2
63926 -> 92973 : 6043
87397 -> 36544 : 45
17142 -> 99028 : 4649
56078 -> 64943 : 1577
4589 -> 22948 : 203
41913 -> 22003 : 28
8454 -> 2012 : 3138
8190 -> 39784 : 28
90844 -> 453 : 166
61431 -> 66456 : 1068
8190 -> 75588 : 93
12902 -> 93215 : 37
98900 -> 10796 : 1160
66456 -> 23335 : 107
48143 -> 57649 : 329
2591 -> 16860 : 44
22003 -> 49807 : 7
4763 -> 49343 : 3
86755 -> 50054 : 3809
9159 -> 19780 : 6390
53877 -> 62863 : 26
99028 -> 49253 : 3562
79528 -> 71026 : 16295
71319 -> 32844 : 1198
70093 -> 73396 : 2
58436 -> 83813 : 53
67749 -> 9803 : 14
40927 -> 9362 : 2563
40927 -> 92710 : 1203
83813 -> 44105 : 20
99152 -> 83658 : 16608
54319 -> 53536 : 82
54319 -> 2624 : 10
63076 -> 60013 : 136
66456 -> 33770 : 912
4763 -> 83931 : 1
99152 -> 30736 : 4065
74953 -> 20263 : 28
17436 -> 88652 : 240
61431 -> 39398 : 643
44105 -> 79203 : 12
36544 -> 57537 : 34
16860 -> 67875 : 26
63076 -> 12013 : 48
56078 -> 98290 : 7003
66025 -> 43442 : 7
23218 -> 55781 : 1948
16860 -> 16874 : 11
60325 -> 73364 : 552
38912 -> 50723 : 3
98900 -> 78020 : 199
39593 -> 93896 : 5745
2012 -> 85092 : 1311
88652 -> 92785 : 84
44105 -> 89791 : 5
54233 -> 39025 : 65
61344 -> 30818 : 13
2624 -> 68306 : 6
39593 -> 70051 : 1977
75588 -> 5461 : 27
63402 -> 17574 : 3171
58436 -> 87637 : 271
96408 -> 43614 : 289
63076 -> 57065 : 121
48143 -> 62823 : 425
51643 -> 2520 : 997
92710 -> 69027 : 670
45628 -> 65861 : 6
14719 -> 15106 : 15
60325 -> 16861 : 14
69004 -> 39063 : 247
77821 -> 73941 : 68
70051 -> 18786 : 1023
23218 -> 38282 : 2161
63926 -> 88526 : 18
22948 -> 54666 : 16
37012 -> 65168 : 14
83813 -> 91361 : 10
2624 -> 55297 : 2
57660 -> 51139 : 2
63926 -> 50026 : 4
24307 -> 79794 : 20
51643 -> 52697 : 1065
61344 -> 46936 : 7
99128 -> 24012 : 164
86755 -> 65140 : 8121
10126 -> 90386 : 6371
30035 -> 32705 : 687
73396 -> 42338 : 2
46936 -> 85691 : 7
12902 -> 79537 : 9
21849 -> 51405 : 3347
62823 -> 62130 : 403
57214 -> 56556 : 1946
56078 -> 53207 : 605
62253 -> 74659 : 5406
49396 -> 40472 : 45
55929 -> 19964 : 4
49253 -> 23847 : 584
38282 -> 1060 : 1419
67875 -> 94052 : 12
77821 -> 57064 : 6261
69027 -> 47347 : 209
74659 -> 73054 : 1057
2520 -> 99045 : 574
55929 -> 61680 : 3
80313 -> 4527 : 4
49807 -> 53818 : 7
55929 -> 17030 : 12
88270 -> 68162 : 1687
70051 -> 91640 : 728
71979 -> 93672 : 1539
89791 -> 33581 : 4
8454 -> 17802 : 392
3522 -> 21032 : 848
33770 -> 92662 : 180
79528 -> 68583 : 8613
61276 -> 79953 : 1023
63926 -> 27684 : 5
66970 -> 16106 : 3876
16053 -> 25133 : 2
24307 -> 58601 : 1
88270 -> 36386 : 57
92785 -> 38832 : 25
91730 -> 13030 : 5549
67269 -> 47614 : 39
23218 -> 13112 : 952
39398 -> 86019 : 128
60325 -> 75835 : 288
83658 -> 28589 : 8409
17802 -> 13280 : 248
66419 -> 31289 : 55
86787 -> 42998 : 18
71248 -> 52219 : 202
74953 -> 13892 : 2
13112 -> 15894 : 418
79794 -> 6938 : 9
71026 -> 11527 : 12832
14719 -> 86995 : 1
92710 -> 526 : 263
65140 -> 86541 : 3837
14719 -> 34389 : 3
67626 -> 49950 : 4
94052 -> 96659 : 8
73941 -> 58464 : 32
29087 -> 24590 : 42268
49253 -> 14318 : 742
8190 -> 35412 : 87
23847 -> 45639 : 504
10126 -> 31206 : 1684
57065 -> 68552 : 26
73054 -> 56206 : 75
2012 -> 95297 : 869
69004 -> 84660 : 86
11527 -> 67203 : 2988
85190 -> 59010 : 2833
69004 -> 53310 : 79
23218 -> 53948 : 658
43442 -> 28712 : 1
89756 -> 70990 : 12203
36544 -> 37222 : 8
92242 -> 26437 : 1594
68162 -> 54450 : 370
39593 -> 88090 : 1000
30736 -> 55827 : 2593
71360 -> 97863 : 626
30736 -> 48301 : 489
62863 -> 39827 : 7
83931 -> 44337 : 1
86755 -> 93781 : 70
17030 -> 72344 : 11
38896 -> 21338 : 11667
65140 -> 57589 : 2593
36529 -> 51346 : 3652
79953 -> 75771 : 270
86541 -> 59812 : 638
38282 -> 61022 : 433
66456 -> 30673 : 4
91730 -> 56568 : 15
75588 -> 34583 : 52
12013 -> 24555 : 24
50054 -> 2083 : 1133
60013 -> 17942 : 104
78020 -> 30050 : 191
68552 -> 63687 : 5
91640 -> 6204 : 54
70051 -> 1211 : 155
75588 -> 39293 : 5
34107 -> 50632 : 2
53948 -> 1680 : 470
45639 -> 60275 : 424
63687 -> 87163 : 1
54666 -> 57674 : 7
65140 -> 69580 : 170
75588 -> 76567 : 6
