Sender -> Receiver: Amount
0 -> 35 : 561826
0 -> 97 : 226624
97 -> 20 : 148242
97 -> 36 : 4420
20 -> 8 : 87504
35 -> 91 : 103660
35 -> 55 : 210726
0 -> 75 : 153340
20 -> 4 : 18119
4 -> 82 : 8588
4 -> 54 : 6279
20 -> 94 : 29874
36 -> 49 : 98
49 -> 38 : 84
20 -> 99 : 1992
36 -> 30 : 683
97 -> 25 : 70163
20 -> 16 : 4699
55 -> 96 : 14231
99 -> 95 : 944
38 -> 95 : 81
35 -> 75 : 169571
36 -> 41 : 3089
82 -> 47 : 3272
97 -> 73 : 2145
94 -> 57 : 6748
30 -> 33 : 14
54 -> 73 : 2013
91 -> 58 : 5488
16 -> 72 : 43
73 -> 32 : 3350
20 -> 85 : 5739
8 -> 26 : 65614
4 -> 66 : 3202
47 -> 88 : 923
54 -> 46 : 895
57 -> 40 : 2157
54 -> 91 : 1816
16 -> 50 : 1870
72 -> 89 : 19
20 -> 91 : 280
33 -> 61 : 12
95 -> 85 : 396
88 -> 79 : 679
32 -> 46 : 2408
97 -> 58 : 1224
89 -> 23 : 19
26 -> 84 : 5361
47 -> 73 : 1125
20 -> 33 : 9
46 -> 11 : 25
32 -> 1 : 114
95 -> 57 : 470
61 -> 64 : 1
36 -> 72 : 37
94 -> 73 : 15068
82 -> 78 : 5210
0 -> 98 : 38444
20 -> 73 : 14
0 -> 87 : 14506
66 -> 46 : 877
97 -> 16 : 426
11 -> 89 : 25
75 -> 45 : 224879
23 -> 86 : 14
55 -> 15 : 93121
66 -> 44 : 1422
0 -> 92 : 5175
86 -> 51 : 14
79 -> 53 : 194
16 -> 26 : 627
55 -> 48 : 58188
25 -> 53 : 26080
54 -> 60 : 119
23 -> 1 : 4
73 -> 80 : 4389
84 -> 70 : 4912
30 -> 62 : 233
26 -> 30 : 38786
72 -> 39 : 47
38 -> 63 : 1
92 -> 76 : 1924
84 -> 80 : 222
76 -> 62 : 1917
35 -> 91 : 45883
66 -> 52 : 503
50 -> 4 : 1009
0 -> 16 : 12
26 -> 47 : 7778
92 -> 18 : 2851
26 -> 84 : 6127
92 -> 24 : 276
20 -> 66 : 5
51 -> 95 : 13
16 -> 60 : 789
39 -> 52 : 15
15 -> 93 : 4564
76 -> 39 : 7
57 -> 40 : 432
15 -> 36 : 87812
