Sender -> Receiver: Amount
0 -> 3294 : 790413
3294 -> 9995 : 617618
9995 -> 1524 : 568958
9995 -> 8882 : 4353
3294 -> 9418 : 39018
1524 -> 6114 : 319660
9418 -> 690 : 34985
8882 -> 8765 : 216
9418 -> 1232 : 862
9418 -> 3946 : 2787
9418 -> 4121 : 80
4121 -> 4364 : 39
4121 -> 4152 : 5
690 -> 8209 : 25131
4152 -> 5454 : 2
3294 -> 6901 : 106264
8209 -> 9377 : 10591
4364 -> 3333 : 26
5454 -> 8623 : 2
1524 -> 2382 : 11261
9377 -> 2505 : 6524
0 -> 358 : 85592
6114 -> 6466 : 162741
6114 -> 2040 : 116962
690 -> 4095 : 3484
4364 -> 9365 : 12
6901 -> 681 : 37047
6466 -> 2844 : 83005
4364 -> 7078 : 1
4095 -> 9959 : 2278
690 -> 8603 : 3609
7078 -> 1806 : 1
0 -> 6183 : 55519
9377 -> 7804 : 701
2505 -> 3 : 2613
9418 -> 6187 : 109
3 -> 2837 : 1609
1806 -> 6384 : 1
2505 -> 8399 : 1604
3946 -> 9932 : 2348
0 -> 7515 : 6748
690 -> 276 : 963
0 -> 4323 : 17249
2382 -> 4397 : 3851
2837 -> 123 : 1049
2505 -> 3011 : 1755
3011 -> 2387 : 592
8209 -> 8950 : 8961
2505 -> 2803 : 425
9959 -> 2828 : 2104
681 -> 3469 : 11453
3294 -> 6590 : 11534
6187 -> 9200 : 71
9418 -> 2358 : 79
2803 -> 8816 : 105
2803 -> 221 : 74
8209 -> 5494 : 893
276 -> 2530 : 264
3294 -> 4108 : 11977
1232 -> 7517 : 544
8603 -> 8628 : 2542
2844 -> 9318 : 26139
8399 -> 2570 : 644
6466 -> 7636 : 73987
2387 -> 2715 : 124
9995 -> 5426 : 11191
9995 -> 2736 : 28863
3 -> 6865 : 287
9418 -> 7517 : 8
4095 -> 3694 : 344
2387 -> 8912 : 334
3333 -> 8336 : 26
6901 -> 5589 : 10775
681 -> 5214 : 12098
9995 -> 5086 : 1765
4095 -> 6015 : 689
8950 -> 3459 : 4776
7517 -> 2960 : 243
6466 -> 8019 : 472
8019 -> 464 : 295
276 -> 2438 : 635
2828 -> 1541 : 1232
1541 -> 6888 : 431
2715 -> 3326 : 59
6015 -> 3470 : 288
7636 -> 6584 : 49005
4121 -> 7790 : 5
221 -> 9468 : 20
9468 -> 5124 : 15
2382 -> 2026 : 3840
5124 -> 3607 : 14
8816 -> 326 : 37
8603 -> 2602 : 781
8399 -> 232 : 718
6590 -> 9309 : 6249
0 -> 7846 : 16780
8019 -> 7945 : 141
232 -> 9025 : 378
3470 -> 253 : 56
0 -> 6201 : 464
4323 -> 6822 : 1976
6590 -> 529 : 1283
2844 -> 9257 : 47604
690 -> 9207 : 402
9418 -> 387 : 67
221 -> 43 : 45
2358 -> 4077 : 21
2530 -> 9600 : 168
5426 -> 5446 : 10497
5446 -> 3554 : 8797
8882 -> 2340 : 2781
2602 -> 6572 : 688
6015 -> 550 : 396
276 -> 4721 : 19
358 -> 2221 : 26570
9200 -> 1238 : 31
8882 -> 4867 : 261
8623 -> 6917 : 1
8623 -> 1272 : 1
4721 -> 8761 : 18
276 -> 1320 : 33
9318 -> 1583 : 1185
2837 -> 4445 : 328
8912 -> 8970 : 108
9257 -> 7919 : 11902
6114 -> 2921 : 15597
5589 -> 7478 : 9445
2921 -> 5091 : 5547
7478 -> 5721 : 5723
2844 -> 4945 : 1431
3470 -> 667 : 205
2340 -> 9099 : 1101
667 -> 5374 : 202
2736 -> 1361 : 23194
6865 -> 2311 : 232
6201 -> 1610 : 148
5091 -> 9559 : 4871
387 -> 4627 : 10
9418 -> 6472 : 39
3326 -> 3010 : 18
2358 -> 893 : 40
2803 -> 5889 : 132
9600 -> 215 : 82
4445 -> 3352 : 2
8765 -> 1790 : 188
7478 -> 3223 : 1395
3694 -> 8701 : 144
4445 -> 2857 : 223
6201 -> 1525 : 209
9559 -> 4946 : 546
7517 -> 6715 : 67
6572 -> 9439 : 310
1525 -> 1122 : 33
8816 -> 4513 : 31
9025 -> 8256 : 344
4121 -> 564 : 28
3554 -> 1945 : 3873
9099 -> 8040 : 905
4627 -> 8075 : 9
276 -> 4410 : 1
9439 -> 3809 : 293
5124 -> 1839 : 1
667 -> 7355 : 2
8399 -> 7239 : 211
5374 -> 6411 : 76
3809 -> 1671 : 21
2828 -> 1025 : 500
6466 -> 7492 : 2825
8040 -> 4674 : 559
2736 -> 6354 : 4412
1320 -> 8944 : 6
2844 -> 5855 : 5501
6822 -> 3518 : 496
4946 -> 7644 : 536
6411 -> 3672 : 23
6865 -> 6381 : 29
4108 -> 1467 : 278
4152 -> 7197 : 2
1232 -> 769 : 303
2921 -> 8946 : 8134
1238 -> 9592 : 24
9365 -> 4747 : 11
6183 -> 1920 : 5892
1610 -> 9110 : 73
4152 -> 9429 : 1
8019 -> 1587 : 8
6114 -> 7364 : 19750
2837 -> 6250 : 191
3470 -> 3661 : 4
2026 -> 9698 : 1498
8882 -> 8935 : 1057
8946 -> 3632 : 2443
2311 -> 2016 : 202
6865 -> 1890 : 25
5086 -> 9888 : 347
6715 -> 5888 : 48
2803 -> 6980 : 60
4323 -> 1076 : 10845
4397 -> 9462 : 1066
2505 -> 363 : 73
4945 -> 441 : 635
6384 -> 8526 : 1
7919 -> 5551 : 7861
1671 -> 6280 : 2
5086 -> 7936 : 579
387 -> 5494 : 1
769 -> 371 : 221
232 -> 1546 : 278
8765 -> 2137 : 17
4410 -> 2487 : 1
9592 -> 503 : 14
8209 -> 2953 : 1326
6901 -> 1987 : 7978
5589 -> 3056 : 284
5589 -> 1252 : 614
5888 -> 7139 : 16
9559 -> 3569 : 1729
1671 -> 6383 : 1
4397 -> 28 : 1112
6590 -> 6045 : 9
8075 -> 2023 : 2
6901 -> 5903 : 49643
9439 -> 3489 : 3
529 -> 6113 : 757
9468 -> 4258 : 1
4627 -> 4781 : 1
9318 -> 6583 : 7830
5091 -> 7382 : 74
9377 -> 9390 : 2707
1546 -> 598 : 163
2026 -> 4631 : 675
4781 -> 4714 : 1
1587 -> 6453 : 7
8765 -> 4291 : 6
8882 -> 5205 : 6
7804 -> 1861 : 36
6045 -> 6260 : 4
529 -> 8081 : 205
387 -> 5076 : 4
550 -> 8514 : 1
5721 -> 7854 : 1576
529 -> 2762 : 266
3946 -> 385 : 217
550 -> 1862 : 74
2960 -> 3137 : 151
2803 -> 5280 : 13
8761 -> 4446 : 8
6583 -> 8697 : 6211
4121 -> 7386 : 3
6583 -> 3940 : 54
8697 -> 2859 : 998
2137 -> 3662 : 6
7355 -> 9934 : 1
1861 -> 78 : 35
681 -> 7827 : 3126
2921 -> 6157 : 1740
2736 -> 8626 : 1187
4397 -> 7645 : 1215
7355 -> 6303 : 1
9025 -> 1065 : 14
6303 -> 1373 : 1
1987 -> 3849 : 2800
4077 -> 9909 : 15
2570 -> 6371 : 211
6183 -> 2434 : 41049
9462 -> 9676 : 119
6583 -> 3006 : 942
4513 -> 5445 : 19
6472 -> 7425 : 25
3569 -> 8517 : 1299
7515 -> 3098 : 6499
9559 -> 5779 : 219
3607 -> 2428 : 1
3137 -> 6899 : 130
6584 -> 7332 : 13658
5086 -> 8887 : 403
2736 -> 2591 : 67
2530 -> 2729 : 74
564 -> 3698 : 13
5855 -> 2976 : 3858
7645 -> 820 : 316
1320 -> 3058 : 19
769 -> 4899 : 69
2921 -> 6510 : 75
2023 -> 2311 : 2
2026 -> 7442 : 1519
8944 -> 697 : 5
5446 -> 1618 : 1343
6015 -> 5828 : 3
5779 -> 8271 : 14
6822 -> 7228 : 1172
1790 -> 5519 : 115
7919 -> 9297 : 2630
5374 -> 5919 : 115
4445 -> 8447 : 7
3489 -> 9499 : 2
1610 -> 3295 : 34
9309 -> 9992 : 4522
2953 -> 4893 : 390
3607 -> 5070 : 11
4631 -> 9439 : 244
7139 -> 6321 : 12
6583 -> 3270 : 60
7517 -> 9030 : 223
2844 -> 4026 : 1296
2837 -> 1999 : 36
1232 -> 7779 : 12
3058 -> 1370 : 9
1618 -> 5804 : 1018
1238 -> 9132 : 1
5919 -> 9181 : 46
8517 -> 4348 : 309
4445 -> 3548 : 26
820 -> 6812 : 113
78 -> 836 : 25
9909 -> 7352 : 14
5519 -> 6841 : 81
8447 -> 7531 : 2
387 -> 6047 : 22
5888 -> 4532 : 18
