Sender -> Receiver: Amount
0 -> 918051 : 845972
0 -> 609543 : 150627
918051 -> 696930 : 819134
918051 -> 484217 : 22326
0 -> 787086 : 1477
484217 -> 88296 : 16298
609543 -> 372828 : 133549
918051 -> 526998 : 1572
696930 -> 613244 : 409794
372828 -> 240319 : 121742
88296 -> 927383 : 6429
240319 -> 692887 : 108300
88296 -> 99623 : 2685
918051 -> 193285 : 2778
526998 -> 994031 : 1101
613244 -> 459739 : 157527
692887 -> 654864 : 37559
526998 -> 760619 : 130
99623 -> 825068 : 1103
825068 -> 480330 : 835
613244 -> 374773 : 92580
374773 -> 818431 : 76267
825068 -> 785094 : 203
787086 -> 285791 : 461
609543 -> 27540 : 15953
484217 -> 762934 : 1984
613244 -> 874539 : 100044
609543 -> 906787 : 371
785094 -> 601235 : 76
785094 -> 586217 : 9
818431 -> 193049 : 73006
372828 -> 110031 : 4136
692887 -> 748615 : 67727
0 -> 929261 : 1268
480330 -> 616552 : 539
616552 -> 376541 : 272
374773 -> 359649 : 9495
692887 -> 580624 : 1938
0 -> 63417 : 80
88296 -> 743892 : 5407
586217 -> 823343 : 5
874539 -> 519381 : 35078
27540 -> 742385 : 5812
906787 -> 791462 : 123
787086 -> 131140 : 95
742385 -> 602106 : 4263
929261 -> 885066 : 1202
791462 -> 882932 : 65
818431 -> 867668 : 1442
88296 -> 987599 : 1231
762934 -> 150972 : 344
987599 -> 684595 : 1169
580624 -> 990459 : 5
193049 -> 954014 : 44344
787086 -> 825309 : 507
372828 -> 43760 : 2292
484217 -> 375412 : 340
150972 -> 350753 : 24
88296 -> 899674 : 253
791462 -> 295871 : 51
654864 -> 108366 : 21512
459739 -> 737297 : 38981
760619 -> 389379 : 112
526998 -> 317050 : 313
787086 -> 633674 : 137
359649 -> 390851 : 1068
390851 -> 172853 : 588
762934 -> 718308 : 386
519381 -> 211326 : 8982
633674 -> 719775 : 55
885066 -> 892898 : 680
760619 -> 927012 : 1
375412 -> 514281 : 194
459739 -> 93122 : 118396
375412 -> 48630 : 94
748615 -> 439036 : 41356
762934 -> 772814 : 1143
240319 -> 473756 : 1
748615 -> 776201 : 17565
359649 -> 542253 : 3540
818431 -> 223683 : 1407
473756 -> 637374 : 1
892898 -> 845383 : 390
359649 -> 351788 : 4707
743892 -> 522794 : 3216
63417 -> 448366 : 36
448366 -> 779014 : 36
43760 -> 513873 : 2184
350753 -> 881467 : 2
885066 -> 748611 : 231
748611 -> 449184 : 114
295871 -> 141999 : 3
743892 -> 970866 : 1122
223683 -> 108906 : 1202
692887 -> 482910 : 421
918051 -> 859673 : 8
633674 -> 670951 : 11
108366 -> 962256 : 12258
131140 -> 515776 : 36
99623 -> 933524 : 1332
885066 -> 939032 : 80
962256 -> 345551 : 4546
390851 -> 647353 : 307
647353 -> 273141 : 93
375412 -> 107640 : 18
779014 -> 57369 : 27
389379 -> 564345 : 90
616552 -> 420046 : 113
845383 -> 267420 : 203
63417 -> 251678 : 9
637374 -> 55690 : 1
609543 -> 548598 : 407
459739 -> 128851 : 99
845383 -> 236601 : 29
345551 -> 968419 : 3265
586217 -> 442456 : 3
987599 -> 301307 : 52
131140 -> 35272 : 44
718308 -> 656968 : 232
785094 -> 207109 : 69
351788 -> 880005 : 4642
899674 -> 705357 : 197
442456 -> 840890 : 2
359649 -> 962534 : 135
927383 -> 357076 : 3813
962256 -> 892829 : 6713
580624 -> 278177 : 1028
193285 -> 293652 : 1719
482910 -> 456141 : 279
867668 -> 839737 : 769
791462 -> 995936 : 7
564345 -> 65900 : 59
962256 -> 348182 : 581
522794 -> 644022 : 563
99623 -> 130238 : 239
601235 -> 708160 : 53
927012 -> 136976 : 1
48630 -> 824399 : 67
63417 -> 449379 : 3
110031 -> 651854 : 1133
762934 -> 399738 : 40
108366 -> 700739 : 2909
742385 -> 439453 : 74
602106 -> 597333 : 4167
787086 -> 84701 : 203
141999 -> 942567 : 1
772814 -> 334902 : 536
285791 -> 816719 : 281
285791 -> 764092 : 62
995936 -> 532977 : 7
130238 -> 402286 : 15
818431 -> 311390 : 119
762934 -> 502740 : 2
439036 -> 488463 : 20340
968419 -> 598964 : 558
348182 -> 596384 : 401
542253 -> 620127 : 2938
892829 -> 190675 : 973
962256 -> 562422 : 340
