Sender -> Receiver: Amount
0 -> 499221 : 794585
499221 -> 234380 : 611608
0 -> 36293 : 43552
499221 -> 671737 : 40496
234380 -> 300105 : 298474
671737 -> 548295 : 39527
671737 -> 176937 : 57
671737 -> 904480 : 524
671737 -> 388614 : 59
904480 -> 629064 : 412
671737 -> 724962 : 261
904480 -> 811887 : 57
724962 -> 824448 : 2
499221 -> 811792 : 25603
904480 -> 856359 : 7
548295 -> 691409 : 5148
548295 -> 443673 : 17540
811792 -> 346699 : 23383
388614 -> 32764 : 54
811792 -> 592240 : 1810
499221 -> 87974 : 82305
592240 -> 442183 : 613
724962 -> 82120 : 181
443673 -> 517834 : 1387
234380 -> 185776 : 52314
443673 -> 344488 : 1627
592240 -> 44088 : 325
346699 -> 649580 : 2245
724962 -> 656056 : 46
443673 -> 472291 : 1647
82120 -> 89951 : 124
300105 -> 801440 : 168537
32764 -> 442625 : 13
856359 -> 720002 : 3
388614 -> 491899 : 3
388614 -> 417952 : 1
811887 -> 327865 : 53
0 -> 44628 : 128140
417952 -> 931727 : 1
344488 -> 660149 : 1202
811887 -> 248412 : 2
346699 -> 222474 : 4380
629064 -> 336026 : 322
548295 -> 759 : 8561
87974 -> 999900 : 74446
87974 -> 350528 : 6025
759 -> 225299 : 3768
222474 -> 997595 : 2124
89951 -> 442526 : 24
801440 -> 649740 : 37553
649740 -> 626583 : 24749
660149 -> 921036 : 128
442625 -> 759356 : 12
656056 -> 802640 : 17
442526 -> 463722 : 9
89951 -> 537496 : 15
350528 -> 781952 : 2667
499221 -> 874301 : 11264
671737 -> 110304 : 11
442526 -> 324920 : 2
32764 -> 146943 : 8
234380 -> 775801 : 36483
811887 -> 750485 : 1
759356 -> 595769 : 11
802640 -> 17841 : 2
324920 -> 740142 : 2
656056 -> 534545 : 7
350528 -> 49739 : 3249
660149 -> 500408 : 610
472291 -> 483808 : 148
824448 -> 488141 : 2
759 -> 173279 : 2963
173279 -> 261722 : 2515
759 -> 3341 : 129
388614 -> 885802 : 1
442625 -> 832510 : 1
17841 -> 667303 : 1
500408 -> 491945 : 95
222474 -> 815335 : 2106
44628 -> 834688 : 67075
811887 -> 360229 : 1
89951 -> 535129 : 47
885802 -> 548432 : 1
225299 -> 193370 : 2365
222474 -> 120814 : 27
346699 -> 116333 : 992
832510 -> 333398 : 1
656056 -> 134673 : 9
904480 -> 231788 : 30
231788 -> 662053 : 28
327865 -> 55851 : 46
500408 -> 927283 : 484
759356 -> 343974 : 1
231788 -> 561160 : 1
671737 -> 72524 : 33
548295 -> 805164 : 8000
720002 -> 287648 : 3
691409 -> 735076 : 4741
724962 -> 777881 : 30
815335 -> 549799 : 1290
921036 -> 707235 : 41
333398 -> 761504 : 1
173279 -> 948947 : 82
49739 -> 399894 : 1822
491899 -> 424342 : 2
999900 -> 267418 : 32312
802640 -> 42633 : 2
343974 -> 58019 : 1
759 -> 899568 : 1428
537496 -> 147856 : 8
116333 -> 693863 : 255
811792 -> 527901 : 332
561160 -> 206905 : 1
336026 -> 923584 : 32
997595 -> 566189 : 1827
997595 -> 170313 : 291
707235 -> 656217 : 3
225299 -> 68645 : 1324
656217 -> 347384 : 3
0 -> 693573 : 24326
116333 -> 695292 : 38
472291 -> 692942 : 1324
134673 -> 120014 : 5
548432 -> 503956 : 1
234380 -> 662401 : 16395
72524 -> 570906 : 28
759 -> 796760 : 250
287648 -> 673186 : 3
193370 -> 287731 : 1358
691409 -> 374491 : 164
535129 -> 950177 : 7
649580 -> 861007 : 1141
499221 -> 354851 : 16276
899568 -> 893817 : 571
354851 -> 731647 : 13001
802640 -> 850149 : 8
17841 -> 401323 : 1
110304 -> 670132 : 1
55851 -> 166214 : 5
626583 -> 376048 : 13284
3341 -> 887402 : 21
527901 -> 741071 : 18
662053 -> 366164 : 5
999900 -> 185517 : 7224
234380 -> 229468 : 93443
667303 -> 915576 : 1
55851 -> 506255 : 4
58019 -> 468349 : 1
89951 -> 116659 : 20
468349 -> 360865 : 1
921036 -> 680445 : 69
185517 -> 894356 : 6085
89951 -> 619354 : 9
