Sender -> Receiver: Amount
0 -> 456 : 799535
0 -> 282 : 115621
282 -> 224 : 110190
224 -> 784 : 13176
224 -> 986 : 47589
456 -> 10 : 301234
10 -> 691 : 218787
784 -> 932 : 5975
932 -> 640 : 3238
0 -> 430 : 34542
691 -> 627 : 36300
224 -> 981 : 38597
10 -> 170 : 67505
691 -> 324 : 134736
640 -> 609 : 2812
932 -> 716 : 1478
224 -> 274 : 152
932 -> 954 : 466
691 -> 402 : 22463
456 -> 12 : 256825
932 -> 360 : 148
609 -> 820 : 1339
282 -> 397 : 4188
170 -> 688 : 48470
456 -> 903 : 114928
981 -> 800 : 32066
10 -> 253 : 13720
716 -> 709 : 1211
430 -> 137 : 5631
430 -> 475 : 16294
709 -> 234 : 31
981 -> 83 : 3411
475 -> 360 : 3684
986 -> 189 : 44271
402 -> 489 : 18474
986 -> 142 : 2122
189 -> 444 : 6758
189 -> 385 : 16534
800 -> 902 : 4466
189 -> 2 : 6028
10 -> 94 : 1071
489 -> 841 : 18283
475 -> 651 : 5286
12 -> 37 : 248318
2 -> 87 : 1839
87 -> 886 : 172
651 -> 925 : 703
83 -> 696 : 1002
696 -> 898 : 239
274 -> 20 : 113
2 -> 825 : 1564
282 -> 983 : 398
83 -> 907 : 1924
983 -> 709 : 271
37 -> 482 : 7518
360 -> 873 : 882
360 -> 736 : 1882
253 -> 379 : 3984
20 -> 364 : 43
87 -> 934 : 1038
274 -> 25 : 15
402 -> 52 : 2846
736 -> 577 : 1742
397 -> 489 : 3213
94 -> 695 : 361
983 -> 434 : 103
10 -> 868 : 41
10 -> 722 : 102
444 -> 818 : 3126
709 -> 660 : 1394
609 -> 960 : 1445
981 -> 109 : 792
2 -> 640 : 781
660 -> 344 : 969
736 -> 835 : 59
841 -> 590 : 3201
344 -> 417 : 91
907 -> 421 : 1693
898 -> 136 : 198
925 -> 531 : 388
660 -> 946 : 143
688 -> 653 : 6458
960 -> 726 : 675
430 -> 3 : 11688
87 -> 919 : 177
818 -> 87 : 2834
224 -> 484 : 1256
898 -> 206 : 30
577 -> 316 : 1093
726 -> 584 : 4
726 -> 656 : 471
3 -> 104 : 2436
736 -> 618 : 8
94 -> 774 : 116
137 -> 843 : 2485
344 -> 775 : 183
224 -> 444 : 2732
397 -> 696 : 253
986 -> 208 : 1100
696 -> 596 : 1014
316 -> 97 : 655
934 -> 889 : 371
97 -> 124 : 34
577 -> 686 : 638
590 -> 79 : 2832
584 -> 576 : 3
726 -> 320 : 76
2 -> 495 : 1430
653 -> 707 : 4812
960 -> 863 : 238
784 -> 301 : 3380
820 -> 486 : 1089
2 -> 820 : 116
863 -> 577 : 235
109 -> 253 : 282
695 -> 467 : 208
656 -> 278 : 256
364 -> 218 : 26
843 -> 480 : 148
709 -> 663 : 15
417 -> 521 : 45
736 -> 913 : 68
208 -> 572 : 487
0 -> 266 : 36245
868 -> 976 : 16
907 -> 767 : 143
774 -> 422 : 11
640 -> 271 : 504
609 -> 997 : 5
691 -> 429 : 10997
124 -> 175 : 20
640 -> 978 : 416
421 -> 3 : 854
686 -> 79 : 547
234 -> 31 : 17
843 -> 411 : 918
873 -> 315 : 420
784 -> 384 : 3093
584 -> 281 : 1
981 -> 258 : 922
889 -> 901 : 15
360 -> 605 : 618
384 -> 103 : 2096
417 -> 355 : 36
411 -> 302 : 529
609 -> 438 : 17
87 -> 466 : 1770
843 -> 52 : 412
104 -> 46 : 289
316 -> 723 : 271
907 -> 949 : 42
903 -> 877 : 8101
986 -> 513 : 2
421 -> 698 : 805
767 -> 981 : 63
206 -> 711 : 25
960 -> 898 : 270
83 -> 755 : 43
37 -> 62 : 110403
456 -> 363 : 62007
495 -> 176 : 1084
142 -> 633 : 1949
281 -> 311 : 1
484 -> 577 : 688
320 -> 161 : 57
97 -> 618 : 183
315 -> 244 : 303
170 -> 174 : 8483
379 -> 155 : 1694
913 -> 572 : 23
475 -> 85 : 1291
94 -> 694 : 210
25 -> 581 : 10
79 -> 757 : 1350
609 -> 516 : 5
531 -> 829 : 56
660 -> 802 : 260
767 -> 586 : 67
456 -> 815 : 3277
489 -> 301 : 3298
913 -> 76 : 18
10 -> 316 : 6
605 -> 386 : 468
224 -> 386 : 5301
925 -> 498 : 38
605 -> 694 : 15
581 -> 959 : 8
258 -> 154 : 875
946 -> 768 : 47
422 -> 183 : 5
768 -> 383 : 44
278 -> 685 : 87
320 -> 996 : 19
531 -> 469 : 24
726 -> 26 : 15
302 -> 752 : 375
76 -> 365 : 17
79 -> 360 : 1173
513 -> 514 : 1
825 -> 810 : 1397
663 -> 54 : 10
174 -> 528 : 4144
12 -> 830 : 3261
696 -> 118 : 2
954 -> 503 : 87
691 -> 74 : 763
633 -> 240 : 51
444 -> 590 : 5955
258 -> 870 : 43
688 -> 496 : 24742
873 -> 538 : 30
218 -> 231 : 15
421 -> 374 : 8
2 -> 472 : 178
907 -> 547 : 8
495 -> 450 : 2
627 -> 648 : 4322
695 -> 982 : 136
651 -> 794 : 3282
627 -> 927 : 10869
877 -> 607 : 7320
189 -> 949 : 14176
467 -> 814 : 42
170 -> 309 : 2588
486 -> 777 : 44
538 -> 83 : 12
698 -> 257 : 275
311 -> 770 : 1
627 -> 282 : 4529
85 -> 199 : 503
707 -> 764 : 1480
240 -> 626 : 6
383 -> 25 : 17
430 -> 378 : 866
83 -> 254 : 96
316 -> 37 : 167
685 -> 911 : 50
618 -> 793 : 179
438 -> 392 : 10
383 -> 844 : 2
383 -> 633 : 25
258 -> 783 : 3
218 -> 903 : 9
20 -> 464 : 9
450 -> 264 : 2
257 -> 767 : 36
234 -> 866 : 5
365 -> 660 : 13
480 -> 475 : 60
889 -> 384 : 162
430 -> 657 : 51
691 -> 874 : 1127
302 -> 629 : 147
609 -> 242 : 1
385 -> 525 : 7762
607 -> 114 : 3279
496 -> 862 : 21284
466 -> 613 : 968
467 -> 704 : 56
503 -> 386 : 64
686 -> 269 : 33
411 -> 489 : 313
959 -> 662 : 6
85 -> 328 : 663
752 -> 520 : 5
467 -> 475 : 22
464 -> 64 : 3
154 -> 746 : 603
648 -> 790 : 2857
379 -> 186 : 312
777 -> 227 : 43
531 -> 289 : 179
572 -> 375 : 185
464 -> 910 : 4
898 -> 762 : 247
704 -> 969 : 4
464 -> 351 : 1
775 -> 355 : 111
269 -> 722 : 28
709 -> 506 : 2
783 -> 563 : 2
521 -> 313 : 29
704 -> 135 : 21
576 -> 393 : 3
244 -> 229 : 1
411 -> 481 : 10
87 -> 4 : 1204
456 -> 689 : 36689
422 -> 389 : 4
498 -> 253 : 26
800 -> 106 : 13887
960 -> 603 : 63
274 -> 832 : 18
814 -> 868 : 1
271 -> 149 : 412
389 -> 174 : 1
818 -> 95 : 219
503 -> 250 : 16
94 -> 231 : 384
996 -> 713 : 18
927 -> 345 : 6257
384 -> 268 : 224
472 -> 815 : 40
746 -> 687 : 331
810 -> 704 : 414
907 -> 283 : 11
375 -> 888 : 95
257 -> 428 : 209
2 -> 766 : 17
183 -> 42 : 3
688 -> 613 : 7052
774 -> 645 : 66
278 -> 600 : 168
959 -> 9 : 1
384 -> 160 : 831
784 -> 278 : 552
843 -> 698 : 832
344 -> 31 : 281
392 -> 276 : 5
161 -> 52 : 13
663 -> 104 : 4
253 -> 495 : 434
137 -> 459 : 1539
695 -> 558 : 17
863 -> 935 : 3
429 -> 935 : 1248
10 -> 608 : 2
613 -> 577 : 3020
793 -> 219 : 5
397 -> 762 : 676
645 -> 431 : 12
375 -> 876 : 89
793 -> 196 : 164
385 -> 285 : 8186
183 -> 675 : 1
484 -> 244 : 270
577 -> 421 : 686
657 -> 431 : 38
374 -> 908 : 3
430 -> 512 : 9
135 -> 16 : 19
886 -> 670 : 101
196 -> 736 : 61
431 -> 861 : 15
234 -> 285 : 3
757 -> 777 : 1083
709 -> 277 : 24
422 -> 243 : 2
365 -> 773 : 2
277 -> 698 : 2
572 -> 28 : 237
431 -> 518 : 2
959 -> 585 : 1
469 -> 960 : 18
983 -> 740 : 16
384 -> 701 : 32
466 -> 978 : 714
496 -> 594 : 1472
716 -> 943 : 233
913 -> 654 : 24
766 -> 706 : 15
820 -> 897 : 22
302 -> 20 : 1
386 -> 674 : 1364
818 -> 257 : 42
224 -> 532 : 1244
653 -> 628 : 644
344 -> 961 : 296
651 -> 124 : 463
897 -> 661 : 17
513 -> 380 : 1
723 -> 686 : 106
2 -> 57 : 50
512 -> 796 : 6
688 -> 231 : 8752
670 -> 732 : 13
315 -> 908 : 73
927 -> 757 : 2766
868 -> 622 : 26
62 -> 773 : 84695
229 -> 487 : 1
969 -> 914 : 1
475 -> 495 : 4824
783 -> 8 : 1
375 -> 789 : 1
271 -> 645 : 7
8 -> 753 : 1
982 -> 244 : 120
908 -> 536 : 31
709 -> 997 : 6
380 -> 824 : 1
76 -> 365 : 1
722 -> 458 : 124
520 -> 864 : 2
622 -> 852 : 16
814 -> 24 : 28
285 -> 258 : 1280
709 -> 682 : 2
820 -> 805 : 184
830 -> 226 : 895
83 -> 277 : 63
981 -> 727 : 1092
688 -> 225 : 988
825 -> 625 : 29
633 -> 939 : 714
841 -> 635 : 13826
124 -> 70 : 260
467 -> 237 : 38
613 -> 154 : 1004
472 -> 59 : 53
654 -> 668 : 24
961 -> 74 : 221
969 -> 366 : 1
328 -> 334 : 508
960 -> 630 : 69
794 -> 617 : 975
431 -> 392 : 19
365 -> 608 : 1
674 -> 529 : 1242
790 -> 153 : 929
208 -> 28 : 431
174 -> 710 : 3398
59 -> 763 : 38
784 -> 334 : 134
572 -> 383 : 38
976 -> 702 : 7
793 -> 523 : 7
766 -> 233 : 2
830 -> 133 : 1808
237 -> 930 : 35
763 -> 933 : 25
832 -> 901 : 18
656 -> 383 : 45
250 -> 674 : 11
118 -> 785 : 1
243 -> 357 : 2
547 -> 342 : 3
613 -> 540 : 3356
976 -> 920 : 1
309 -> 460 : 1543
224 -> 673 : 4
486 -> 985 : 728
830 -> 721 : 437
532 -> 413 : 1179
886 -> 71 : 31
384 -> 579 : 39
360 -> 27 : 970
271 -> 54 : 29
244 -> 736 : 463
464 -> 964 : 1
673 -> 609 : 4
516 -> 455 : 1
903 -> 951 : 10966
309 -> 182 : 587
613 -> 849 : 274
467 -> 956 : 24
344 -> 151 : 74
