Sender -> Receiver: Amount
0 -> 1918 : 566110
0 -> 1153 : 396130
1153 -> 7377 : 91163
0 -> 4804 : 27497
1153 -> 2200 : 248234
4804 -> 6134 : 8506
1153 -> 4081 : 20834
2200 -> 8300 : 174567
1153 -> 9385 : 27311
1153 -> 1963 : 3936
2200 -> 6950 : 65866
9385 -> 9011 : 16600
6134 -> 8730 : 6897
8730 -> 6154 : 6895
9011 -> 4665 : 9537
6154 -> 8369 : 1529
0 -> 8422 : 5777
8369 -> 8575 : 44
8730 -> 3045 : 2
6154 -> 4838 : 2652
0 -> 8666 : 2077
8422 -> 6969 : 5581
9385 -> 7250 : 376
6154 -> 3105 : 1420
0 -> 659 : 1624
9011 -> 3935 : 1223
659 -> 5691 : 588
4804 -> 6305 : 4268
4804 -> 379 : 4330
9385 -> 9073 : 8027
9011 -> 8866 : 4742
1153 -> 1779 : 1954
4838 -> 275 : 535
5691 -> 3088 : 446
3088 -> 4274 : 129
1779 -> 7882 : 745
6950 -> 7100 : 6354
379 -> 9099 : 4222
1918 -> 8810 : 107073
6154 -> 5082 : 971
8810 -> 6997 : 87092
1963 -> 7800 : 1958
275 -> 404 : 20
8300 -> 1564 : 57493
5082 -> 2770 : 361
6134 -> 9189 : 865
1918 -> 175 : 161129
8575 -> 942 : 36
6154 -> 1716 : 239
659 -> 5432 : 161
3105 -> 1189 : 1210
5082 -> 3018 : 218
1564 -> 9578 : 45523
6969 -> 1001 : 3678
8300 -> 8192 : 79991
9189 -> 3725 : 260
8369 -> 3096 : 921
6154 -> 3477 : 79
2200 -> 6850 : 4971
4665 -> 8621 : 6371
3088 -> 1722 : 117
3096 -> 9589 : 128
3935 -> 9341 : 593
2770 -> 8302 : 328
7882 -> 1803 : 569
2200 -> 2343 : 2228
275 -> 8817 : 219
7800 -> 2213 : 1794
9099 -> 8572 : 894
6850 -> 2194 : 1027
6134 -> 4752 : 697
8302 -> 2948 : 142
5432 -> 2766 : 43
8817 -> 2720 : 101
3088 -> 4571 : 73
8192 -> 2057 : 42016
9099 -> 6367 : 1791
3105 -> 4544 : 14
2948 -> 5704 : 44
404 -> 7247 : 14
1918 -> 7367 : 144968
942 -> 8614 : 33
275 -> 9950 : 68
1153 -> 2809 : 811
1779 -> 2842 : 793
8817 -> 6664 : 103
4752 -> 1703 : 170
8302 -> 8253 : 182
9385 -> 941 : 2215
2057 -> 1420 : 4302
3935 -> 840 : 231
8422 -> 9588 : 64
2343 -> 4999 : 2146
9341 -> 5879 : 494
840 -> 5097 : 49
6305 -> 736 : 2769
659 -> 6770 : 57
4804 -> 1317 : 3893
5432 -> 5239 : 31
8666 -> 8699 : 844
275 -> 4694 : 176
9011 -> 7419 : 1047
5691 -> 6591 : 102
7800 -> 1118 : 29
7800 -> 4824 : 18
8422 -> 7275 : 93
6367 -> 3792 : 1464
659 -> 4380 : 122
9589 -> 7446 : 31
3088 -> 2400 : 67
736 -> 8177 : 2167
3018 -> 8298 : 53
1803 -> 6467 : 93
5879 -> 8675 : 327
7882 -> 3590 : 71
8422 -> 3364 : 37
2057 -> 9040 : 16350
4804 -> 9855 : 541
4380 -> 6083 : 23
2200 -> 496 : 122
8575 -> 826 : 4
6950 -> 2225 : 1250
8300 -> 7224 : 33596
1001 -> 1940 : 3382
4571 -> 4128 : 16
942 -> 9512 : 2
6850 -> 4752 : 1807
7367 -> 2583 : 109041
1118 -> 2117 : 28
2057 -> 6779 : 5030
8675 -> 5032 : 128
9099 -> 9436 : 766
8866 -> 5154 : 3699
