Sender -> Receiver: Amount
0 -> 46 : 372507
0 -> 89 : 378249
0 -> 42 : 73938
0 -> 35 : 21586
46 -> 44 : 165585
46 -> 67 : 61297
0 -> 49 : 90296
89 -> 13 : 50181
0 -> 54 : 34970
13 -> 48 : 3655
0 -> 83 : 27504
42 -> 21 : 2306
89 -> 20 : 13705
0 -> 45 : 111
67 -> 4 : 44348
67 -> 88 : 12832
13 -> 15 : 1139
46 -> 22 : 62212
48 -> 82 : 3019
67 -> 75 : 3237
42 -> 46 : 45278
54 -> 90 : 23363
42 -> 93 : 14320
83 -> 95 : 19850
45 -> 37 : 7
13 -> 54 : 20889
37 -> 77 : 1
4 -> 55 : 42181
67 -> 96 : 663
77 -> 82 : 1
83 -> 29 : 442
55 -> 64 : 26570
46 -> 42 : 81173
89 -> 50 : 133916
75 -> 3 : 2899
15 -> 13 : 639
35 -> 12 : 2292
88 -> 45 : 2778
46 -> 22 : 37454
50 -> 78 : 103143
75 -> 2 : 29
20 -> 8 : 8683
89 -> 91 : 149977
44 -> 74 : 121294
75 -> 51 : 36
64 -> 43 : 24225
90 -> 64 : 9426
4 -> 2 : 280
83 -> 28 : 3221
15 -> 84 : 263
82 -> 66 : 1969
20 -> 66 : 3528
12 -> 22 : 262
67 -> 96 : 71
13 -> 95 : 9360
43 -> 93 : 197
0 -> 17 : 209
48 -> 4 : 525
66 -> 29 : 2338
35 -> 25 : 11314
93 -> 56 : 8377
54 -> 82 : 30053
51 -> 70 : 22
21 -> 80 : 1421
96 -> 53 : 672
12 -> 4 : 1465
48 -> 11 : 79
64 -> 68 : 10728
11 -> 37 : 15
17 -> 97 : 170
44 -> 75 : 20879
91 -> 19 : 80340
90 -> 55 : 3987
42 -> 99 : 41800
29 -> 91 : 880
0 -> 76 : 521
29 -> 0 : 946
54 -> 13 : 2250
67 -> 55 : 110
48 -> 15 : 1
56 -> 60 : 374
8 -> 57 : 3927
88 -> 90 : 6012
35 -> 69 : 2747
17 -> 52 : 14
90 -> 53 : 7096
46 -> 80 : 3284
17 -> 92 : 5
19 -> 39 : 29196
50 -> 7 : 14686
91 -> 33 : 64709
69 -> 37 : 2262
25 -> 53 : 1405
39 -> 37 : 18003
89 -> 60 : 326
68 -> 12 : 9291
67 -> 68 : 36
15 -> 80 : 2
7 -> 23 : 7446
96 -> 60 : 37
8 -> 35 : 3837
8 -> 61 : 802
35 -> 19 : 6898
80 -> 19 : 1638
80 -> 0 : 2517
54 -> 93 : 88
45 -> 83 : 433
92 -> 65 : 5
3 -> 81 : 426
