Sender -> Receiver: Amount
0 -> 32116 : 855017
32116 -> 41095 : 8170
0 -> 10910 : 56363
0 -> 65331 : 38954
32116 -> 39483 : 837843
32116 -> 30809 : 2620
65331 -> 26687 : 4746
26687 -> 31716 : 2529
32116 -> 20782 : 3677
10910 -> 59263 : 49291
30809 -> 2561 : 2502
26687 -> 56346 : 523
2561 -> 16090 : 1187
30809 -> 71039 : 87
56346 -> 33143 : 108
71039 -> 79462 : 81
16090 -> 89745 : 1181
56346 -> 21043 : 326
71039 -> 77541 : 2
0 -> 95787 : 1419
39483 -> 36024 : 725145
39483 -> 42153 : 91570
36024 -> 11516 : 130413
95787 -> 32921 : 728
79462 -> 42392 : 5
42153 -> 42124 : 88787
10910 -> 83255 : 6626
31716 -> 86538 : 1035
11516 -> 61963 : 69395
56346 -> 58839 : 44
26687 -> 56648 : 255
21043 -> 29312 : 64
89745 -> 11634 : 209
31716 -> 22302 : 1083
0 -> 44038 : 3496
0 -> 46225 : 42078
30809 -> 2589 : 11
30809 -> 61003 : 17
89745 -> 76116 : 503
46225 -> 73654 : 19874
76116 -> 80367 : 356
29312 -> 82753 : 64
46225 -> 15735 : 17024
26687 -> 18334 : 1347
33143 -> 17282 : 10
32921 -> 82319 : 123
33143 -> 56054 : 22
36024 -> 76562 : 498162
79462 -> 64765 : 56
76562 -> 9331 : 110265
26687 -> 1141 : 34
44038 -> 47551 : 3121
42153 -> 31429 : 2700
31429 -> 53644 : 1019
11516 -> 67074 : 3671
77541 -> 48570 : 2
0 -> 27123 : 2168
83255 -> 6541 : 4994
21043 -> 78494 : 30
78494 -> 48989 : 23
41095 -> 76234 : 3145
30809 -> 2400 : 1
26687 -> 44653 : 30
89745 -> 18540 : 17
42392 -> 43181 : 5
32921 -> 84783 : 430
2561 -> 92314 : 153
18540 -> 76640 : 14
83255 -> 38914 : 181
31716 -> 38690 : 245
2400 -> 75798 : 1
11634 -> 26472 : 102
48570 -> 7746 : 1
86538 -> 13875 : 458
82319 -> 80754 : 82
7746 -> 58797 : 1
76116 -> 75607 : 62
26687 -> 2128 : 25
1141 -> 11220 : 10
61003 -> 98194 : 4
31716 -> 9940 : 160
31716 -> 36292 : 3
36292 -> 30458 : 3
56346 -> 67518 : 20
9331 -> 12470 : 24657
6541 -> 12424 : 759
76562 -> 19827 : 184854
44038 -> 49574 : 326
61003 -> 89596 : 5
1141 -> 99033 : 2
80754 -> 66913 : 61
75798 -> 98558 : 1
79462 -> 53633 : 14
36024 -> 27427 : 88493
56648 -> 1590 : 42
80754 -> 28293 : 1
92314 -> 20759 : 39
6541 -> 19854 : 1521
84783 -> 47149 : 415
53644 -> 79806 : 974
