Sender -> Receiver: Amount
0 -> 18266 : 295332
0 -> 888952 : 66499
888952 -> 963401 : 25404
963401 -> 88429 : 22530
88429 -> 709448 : 15498
963401 -> 559094 : 1271
709448 -> 406942 : 2756
559094 -> 965843 : 50
0 -> 664177 : 468804
0 -> 987651 : 163599
559094 -> 676040 : 1093
406942 -> 253958 : 1451
987651 -> 655496 : 64168
987651 -> 932027 : 24803
0 -> 409364 : 4694
0 -> 987005 : 569
88429 -> 632484 : 3201
253958 -> 887505 : 478
932027 -> 231756 : 21965
231756 -> 307298 : 87
307298 -> 884746 : 21
253958 -> 869313 : 61
406942 -> 921067 : 667
921067 -> 333030 : 378
253958 -> 386504 : 864
921067 -> 738614 : 32
386504 -> 758806 : 469
921067 -> 605103 : 150
664177 -> 70269 : 51122
231756 -> 268933 : 19692
307298 -> 540418 : 11
307298 -> 758801 : 47
987005 -> 769099 : 323
869313 -> 445904 : 33
758801 -> 938850 : 27
888952 -> 598724 : 11255
406942 -> 331628 : 627
758806 -> 935004 : 433
888952 -> 170059 : 28646
632484 -> 91307 : 1845
921067 -> 799891 : 12
253958 -> 409954 : 24
231756 -> 965364 : 2027
170059 -> 894005 : 3616
91307 -> 256741 : 1312
70269 -> 517464 : 7198
888952 -> 28520 : 183
884746 -> 775629 : 2
253958 -> 18343 : 9
758806 -> 979797 : 32
331628 -> 497218 : 7
632484 -> 594710 : 889
559094 -> 360153 : 35
91307 -> 686493 : 467
965843 -> 794644 : 14
965364 -> 740890 : 1334
686493 -> 310547 : 314
28520 -> 50748 : 52
559094 -> 997284 : 23
887505 -> 614122 : 231
664177 -> 980585 : 324877
632484 -> 342880 : 427
740890 -> 31231 : 361
921067 -> 401297 : 65
963401 -> 90375 : 1539
676040 -> 629241 : 136
409364 -> 397797 : 3999
794644 -> 73873 : 1
170059 -> 219596 : 11906
686493 -> 506153 : 80
887505 -> 348106 : 176
91307 -> 747492 : 20
794644 -> 419172 : 10
997284 -> 158217 : 16
18266 -> 126005 : 120997
963401 -> 30680 : 5
664177 -> 215560 : 84107
268933 -> 745719 : 18076
219596 -> 148030 : 10268
253958 -> 608613 : 4
888952 -> 376846 : 549
608613 -> 283676 : 3
88429 -> 780917 : 900
517464 -> 781173 : 4615
758806 -> 929717 : 4
769099 -> 966038 : 175
888952 -> 504067 : 176
997284 -> 779485 : 6
935004 -> 289419 : 311
342880 -> 242520 : 211
987651 -> 404994 : 20722
987651 -> 112187 : 34250
28520 -> 938072 : 38
963401 -> 922003 : 23
559094 -> 966401 : 35
73873 -> 103237 : 1
745719 -> 331187 : 11505
376846 -> 220930 : 29
745719 -> 516161 : 977
242520 -> 274146 : 184
