Sender -> Receiver: Amount
0 -> 90049 : 727864
90049 -> 79603 : 400600
79603 -> 48178 : 146602
90049 -> 5419 : 93774
79603 -> 57540 : 157288
79603 -> 11659 : 85692
0 -> 11593 : 225678
0 -> 26378 : 37766
90049 -> 52814 : 188
52814 -> 5694 : 18
48178 -> 95939 : 13316
5419 -> 3175 : 4075
52814 -> 89716 : 71
95939 -> 35098 : 6458
0 -> 77988 : 1451
95939 -> 8844 : 4481
89716 -> 96856 : 25
52814 -> 41235 : 17
79603 -> 16526 : 7862
77988 -> 25944 : 1060
41235 -> 57054 : 2
16526 -> 90731 : 7533
8844 -> 83890 : 1875
3175 -> 52118 : 3745
11659 -> 44570 : 25495
57540 -> 56097 : 125578
56097 -> 13478 : 92140
11593 -> 49214 : 45212
89716 -> 45961 : 19
11659 -> 23130 : 48681
41235 -> 74885 : 14
79603 -> 35513 : 2711
5694 -> 92508 : 18
89716 -> 77393 : 26
5419 -> 42041 : 5021
79603 -> 70763 : 88
13478 -> 97116 : 7700
57054 -> 73602 : 1
90049 -> 87662 : 52036
26378 -> 92808 : 25266
90049 -> 82570 : 81988
83890 -> 68311 : 133
35513 -> 88286 : 907
13478 -> 72014 : 79343
57540 -> 94057 : 28297
35513 -> 11211 : 441
68311 -> 90965 : 31
79603 -> 61619 : 34
44570 -> 7883 : 14851
92808 -> 15127 : 2174
57054 -> 77075 : 1
45961 -> 19276 : 10
11659 -> 15116 : 9743
56097 -> 7284 : 24405
48178 -> 72526 : 47078
57540 -> 82374 : 2848
90731 -> 40722 : 6731
97116 -> 62431 : 5673
16526 -> 17965 : 282
44570 -> 17704 : 9132
90965 -> 67491 : 1
70763 -> 13613 : 8
19276 -> 30987 : 9
17965 -> 23303 : 23
82374 -> 37005 : 786
94057 -> 1385 : 4991
90049 -> 73734 : 79039
52814 -> 97901 : 46
3175 -> 61106 : 128
45961 -> 5963 : 2
48178 -> 7232 : 49473
7883 -> 19868 : 9280
11211 -> 55258 : 69
73734 -> 28680 : 72511
62431 -> 3927 : 1099
5419 -> 93153 : 60085
83890 -> 94452 : 623
40722 -> 1390 : 5989
94452 -> 85992 : 113
3927 -> 49508 : 976
13613 -> 42269 : 8
23303 -> 71834 : 20
52814 -> 73709 : 26
94452 -> 79595 : 24
5963 -> 15382 : 1
87662 -> 53529 : 19711
49508 -> 99776 : 64
7284 -> 1369 : 22811
11659 -> 77345 : 12
45961 -> 75358 : 7
77075 -> 7660 : 1
72526 -> 68972 : 41107
0 -> 30911 : 3361
61106 -> 16550 : 94
82374 -> 62356 : 881
7232 -> 83476 : 39532
13478 -> 25193 : 3969
74885 -> 45868 : 10
62356 -> 74648 : 722
17704 -> 10264 : 8245
17965 -> 26547 : 152
23303 -> 87906 : 1
61619 -> 27315 : 30
96856 -> 70018 : 17
44570 -> 75144 : 478
0 -> 43404 : 3667
94057 -> 21328 : 21349
17965 -> 63912 : 31
97901 -> 46799 : 42
27315 -> 11493 : 15
11211 -> 73096 : 339
1369 -> 62599 : 7069
42269 -> 61656 : 5
42041 -> 51467 : 1770
25944 -> 37455 : 36
97901 -> 78828 : 4
94057 -> 96005 : 466
42269 -> 94612 : 2
68311 -> 757 : 96
23130 -> 54323 : 6368
52118 -> 76355 : 379
42041 -> 42784 : 2269
35098 -> 60848 : 1276
42041 -> 8 : 263
48178 -> 6618 : 30967
17965 -> 5269 : 69
73734 -> 4149 : 1139
51467 -> 41719 : 336
74885 -> 26013 : 1
70763 -> 71934 : 15
16550 -> 91034 : 94
90049 -> 14725 : 17854
15382 -> 47920 : 1
67491 -> 49296 : 1
8844 -> 87201 : 758
77988 -> 7839 : 69
30987 -> 40139 : 2
40139 -> 8428 : 2
1390 -> 84418 : 3067
95939 -> 43315 : 399
90965 -> 97443 : 23
90731 -> 98135 : 356
56097 -> 42565 : 4899
4149 -> 42288 : 731
15116 -> 26950 : 8336
37005 -> 7427 : 601
8428 -> 24093 : 1
42269 -> 50189 : 1
73709 -> 23980 : 23
73709 -> 2903 : 3
79603 -> 11810 : 221
42565 -> 39710 : 1670
82570 -> 14303 : 12669
11659 -> 39142 : 798
35513 -> 47885 : 984
62431 -> 14182 : 2834
35098 -> 35944 : 1724
19868 -> 69684 : 4535
96856 -> 64380 : 2
53529 -> 84333 : 5089
90049 -> 55448 : 955
1385 -> 52503 : 3804
42041 -> 10082 : 536
62431 -> 57353 : 1605
85992 -> 7940 : 18
87662 -> 43291 : 27759
19868 -> 37804 : 323
61619 -> 24692 : 1
8 -> 22380 : 77
82374 -> 8300 : 93
5269 -> 62842 : 40
99776 -> 7012 : 43
51467 -> 98954 : 605
8300 -> 90716 : 48
41719 -> 92255 : 336
50189 -> 89704 : 1
61106 -> 47438 : 15
37804 -> 65254 : 105
94452 -> 99800 : 94
54323 -> 96364 : 2990
26547 -> 4512 : 29
27315 -> 3058 : 12
11493 -> 98164 : 15
92508 -> 34990 : 9
7940 -> 1091 : 12
11659 -> 34313 : 431
77988 -> 30988 : 84
79595 -> 86380 : 1
64380 -> 78500 : 1
42041 -> 81083 : 103
71934 -> 26265 : 4
56097 -> 17474 : 368
15127 -> 58698 : 983
40722 -> 35069 : 359
89716 -> 50706 : 1
7012 -> 78772 : 22
17474 -> 11310 : 95
45868 -> 24561 : 4
