Sender -> Receiver: Amount
0 -> 642 : 416270
642 -> 1882 : 87991
1882 -> 4984 : 66627
4984 -> 8681 : 54986
4984 -> 3049 : 9525
8681 -> 8748 : 54295
4984 -> 7644 : 1836
3049 -> 7737 : 8569
642 -> 3920 : 101018
3049 -> 299 : 447
4984 -> 7574 : 70
7574 -> 2885 : 33
1882 -> 3830 : 12501
3920 -> 489 : 66435
299 -> 7755 : 125
299 -> 4174 : 14
3049 -> 6392 : 338
7644 -> 9451 : 1813
2885 -> 3567 : 25
9451 -> 7981 : 1619
7574 -> 1350 : 24
7981 -> 7667 : 559
642 -> 5369 : 132652
1882 -> 1635 : 2626
0 -> 1819 : 411394
489 -> 8896 : 41606
7737 -> 2014 : 6041
7667 -> 1313 : 217
2014 -> 3471 : 1183
299 -> 5988 : 4
1882 -> 92 : 3891
7755 -> 5860 : 121
489 -> 1699 : 13446
7755 -> 9141 : 2
4174 -> 1969 : 7
7574 -> 7797 : 4
489 -> 3178 : 4379
7981 -> 8285 : 394
1699 -> 8600 : 5363
299 -> 6263 : 254
3049 -> 8859 : 74
5860 -> 9399 : 96
2885 -> 4643 : 4
0 -> 6168 : 55753
2885 -> 5486 : 3
2885 -> 808 : 1
0 -> 8907 : 102711
7755 -> 9817 : 1
7667 -> 773 : 122
9399 -> 2595 : 7
7644 -> 7948 : 3
2014 -> 1729 : 2278
9451 -> 6922 : 155
1313 -> 250 : 79
9399 -> 507 : 71
1313 -> 4185 : 21
1350 -> 3273 : 7
250 -> 1483 : 10
1729 -> 5700 : 1555
6922 -> 6615 : 70
507 -> 3859 : 26
4984 -> 5424 : 83
8748 -> 9035 : 24378
5424 -> 3603 : 81
489 -> 9611 : 3087
3567 -> 4610 : 18
2595 -> 4504 : 4
773 -> 111 : 102
7981 -> 9859 : 445
3567 -> 276 : 1
4174 -> 9773 : 1
1699 -> 8674 : 4079
6922 -> 8568 : 60
2014 -> 2484 : 1802
8285 -> 5574 : 274
3567 -> 8090 : 4
3603 -> 9949 : 49
1313 -> 2173 : 95
5486 -> 545 : 1
4984 -> 4946 : 105
642 -> 8797 : 89538
9817 -> 9065 : 1
6922 -> 195 : 10
5700 -> 2264 : 129
8285 -> 7870 : 62
7574 -> 3169 : 7
1313 -> 9057 : 18
7948 -> 722 : 3
276 -> 836 : 1
9611 -> 6047 : 719
7870 -> 6872 : 55
7737 -> 3738 : 658
1350 -> 4037 : 16
5574 -> 4543 : 264
1729 -> 7402 : 12
5860 -> 7016 : 23
5860 -> 1906 : 1
2595 -> 8110 : 2
4543 -> 9918 : 48
299 -> 4187 : 27
3273 -> 8753 : 7
3830 -> 9024 : 7220
2595 -> 910 : 1
4643 -> 6819 : 1
5486 -> 1369 : 1
3859 -> 753 : 10
4610 -> 3025 : 16
8896 -> 6238 : 25179
9611 -> 5498 : 329
6819 -> 6323 : 1
8907 -> 6191 : 19327
8859 -> 7944 : 13
808 -> 2105 : 1
3830 -> 4536 : 583
8748 -> 8887 : 19818
3049 -> 5901 : 20
6191 -> 2517 : 13383
3169 -> 2148 : 4
8859 -> 1848 : 42
6922 -> 3950 : 8
5498 -> 1775 : 257
8110 -> 6533 : 2
9141 -> 9909 : 2
5700 -> 7591 : 706
8674 -> 2812 : 2742
545 -> 7306 : 1
1313 -> 8553 : 1
3950 -> 9840 : 4
5901 -> 5377 : 7
1699 -> 8187 : 2481
7402 -> 758 : 8
7016 -> 1827 : 14
7667 -> 2067 : 51
836 -> 4390 : 1
250 -> 1229 : 66
8285 -> 913 : 35
8748 -> 755 : 9942
2148 -> 2782 : 4
1699 -> 4720 : 1072
5988 -> 6329 : 3
3603 -> 7630 : 25
2517 -> 4438 : 1835
4438 -> 5457 : 670
773 -> 2810 : 13
4946 -> 634 : 64
9065 -> 1125 : 1
2517 -> 8462 : 9627
9949 -> 3822 : 5
3822 -> 5718 : 1
6615 -> 4804 : 68
8674 -> 4070 : 844
7306 -> 9682 : 1
1775 -> 1718 : 80
9949 -> 2633 : 28
5377 -> 2902 : 4
489 -> 4063 : 949
2810 -> 873 : 7
7630 -> 440 : 15
7016 -> 2281 : 4
1819 -> 6775 : 358070
9918 -> 4614 : 15
3738 -> 7774 : 2
2812 -> 5115 : 2490
8753 -> 3874 : 6
3169 -> 4416 : 2
8797 -> 5591 : 47460
2067 -> 5017 : 18
2633 -> 8283 : 3
2633 -> 860 : 17
7402 -> 5346 : 4
2484 -> 7358 : 638
2517 -> 5870 : 162
5486 -> 3478 : 1
7797 -> 2094 : 3
6329 -> 7619 : 3
3738 -> 5525 : 497
4946 -> 6220 : 36
2281 -> 5857 : 4
7016 -> 9549 : 2
5870 -> 3449 : 155
9035 -> 6923 : 5523
3738 -> 3203 : 149
9035 -> 419 : 14992
4536 -> 3211 : 38
1827 -> 6561 : 9
2014 -> 2529 : 566
8753 -> 6342 : 1
4438 -> 6467 : 87
5525 -> 8480 : 445
111 -> 6240 : 83
8896 -> 5185 : 13699
4804 -> 9940 : 36
6047 -> 7360 : 389
2014 -> 7614 : 68
2484 -> 4519 : 866
8462 -> 7163 : 3247
5017 -> 6919 : 15
6533 -> 517 : 1
4804 -> 4347 : 14
1635 -> 1574 : 784
8887 -> 589 : 174
6238 -> 1193 : 198
8285 -> 6307 : 6
7591 -> 8539 : 167
6263 -> 9109 : 172
6238 -> 6372 : 24661
9840 -> 9369 : 1
1313 -> 7851 : 1
3822 -> 7486 : 2
4347 -> 8227 : 6
9369 -> 2647 : 1
4519 -> 990 : 561
1193 -> 6504 : 86
7667 -> 5549 : 4
5591 -> 4872 : 24074
910 -> 912 : 1
6467 -> 762 : 59
722 -> 3422 : 3
8681 -> 3324 : 249
4390 -> 1884 : 1
913 -> 334 : 26
5346 -> 1730 : 4
8568 -> 3114 : 56
2173 -> 8003 : 10
1574 -> 9840 : 678
6467 -> 6729 : 17
5857 -> 5448 : 1
3025 -> 3639 : 8
507 -> 296 : 26
7981 -> 9476 : 12
1882 -> 7186 : 1734
3471 -> 4042 : 194
1125 -> 3044 : 1
990 -> 6278 : 381
5549 -> 1648 : 1
1313 -> 3610 : 1
4037 -> 3653 : 15
3203 -> 274 : 117
2484 -> 854 : 113
9682 -> 8739 : 1
912 -> 3127 : 1
7591 -> 7985 : 220
762 -> 7319 : 37
9399 -> 269 : 5
3422 -> 5018 : 3
8553 -> 6524 : 1
3025 -> 2045 : 3
3610 -> 5332 : 1
4984 -> 1693 : 15
440 -> 7305 : 4
1819 -> 8156 : 4184
6729 -> 5503 : 3
8156 -> 227 : 1718
5185 -> 3586 : 4624
3449 -> 5209 : 18
4614 -> 5679 : 3
2810 -> 8262 : 6
4610 -> 7281 : 1
3025 -> 1578 : 3
92 -> 1047 : 2199
5424 -> 9854 : 1
1574 -> 1395 : 57
9024 -> 4604 : 2544
8859 -> 8109 : 18
9909 -> 5047 : 1
3859 -> 3465 : 5
4543 -> 7496 : 4
4042 -> 1514 : 68
195 -> 1905 : 9
9949 -> 4356 : 14
873 -> 9843 : 3
2647 -> 9991 : 1
274 -> 7174 : 46
3822 -> 125 : 2
3920 -> 1122 : 16389
854 -> 1178 : 107
3465 -> 4625 : 4
589 -> 387 : 138
4042 -> 6975 : 9
4519 -> 7472 : 256
5115 -> 801 : 2164
7016 -> 4263 : 3
489 -> 3592 : 2945
2067 -> 250 : 30
1483 -> 4450 : 9
8907 -> 7465 : 1325
8462 -> 5419 : 4663
990 -> 5840 : 45
3044 -> 1454 : 1
6919 -> 1561 : 4
7774 -> 3408 : 1
4643 -> 6174 : 3
5860 -> 972 : 1
854 -> 8760 : 5
7174 -> 2881 : 2
4356 -> 9695 : 14
8109 -> 472 : 13
7797 -> 9742 : 1
7163 -> 6097 : 2714
227 -> 5457 : 365
5857 -> 113 : 1
2067 -> 7378 : 1
8462 -> 5269 : 194
2633 -> 2015 : 4
4263 -> 9070 : 3
1729 -> 9824 : 669
6729 -> 4444 : 4
7186 -> 6468 : 143
1514 -> 278 : 47
9035 -> 1493 : 3525
9918 -> 5109 : 8
8109 -> 1304 : 5
7281 -> 634 : 1
274 -> 8592 : 27
4625 -> 9213 : 4
5209 -> 8362 : 2
7981 -> 4198 : 75
4504 -> 1775 : 4
3471 -> 1072 : 700
9773 -> 4344 : 1
