Sender -> Receiver: Amount
0 -> 654 : 240866
654 -> 57 : 33291
57 -> 234 : 18398
0 -> 565 : 305480
234 -> 323 : 6413
323 -> 608 : 1094
565 -> 18 : 225607
608 -> 558 : 1020
323 -> 814 : 4341
323 -> 228 : 357
228 -> 968 : 24
323 -> 82 : 596
565 -> 716 : 46925
716 -> 893 : 31584
558 -> 488 : 118
57 -> 403 : 3869
323 -> 700 : 7
488 -> 275 : 9
323 -> 361 : 7
893 -> 465 : 30947
968 -> 313 : 20
654 -> 129 : 179602
465 -> 513 : 460
565 -> 330 : 12519
330 -> 190 : 2770
82 -> 171 : 278
313 -> 484 : 4
57 -> 634 : 7975
608 -> 743 : 57
190 -> 965 : 1025
18 -> 811 : 203816
403 -> 303 : 1860
654 -> 905 : 5189
234 -> 770 : 8578
484 -> 766 : 3
700 -> 414 : 2
313 -> 213 : 12
465 -> 296 : 22429
313 -> 246 : 1
484 -> 933 : 1
811 -> 185 : 90753
275 -> 469 : 2
234 -> 94 : 2447
465 -> 929 : 4902
313 -> 67 : 2
361 -> 809 : 7
811 -> 55 : 44049
228 -> 515 : 239
55 -> 111 : 14727
814 -> 219 : 1077
933 -> 820 : 1
716 -> 916 : 14941
893 -> 299 : 179
246 -> 453 : 1
219 -> 200 : 79
743 -> 457 : 22
299 -> 999 : 115
111 -> 55 : 14641
94 -> 534 : 749
905 -> 5 : 3152
55 -> 322 : 4924
534 -> 829 : 138
5 -> 811 : 102
219 -> 328 : 12
313 -> 448 : 1
565 -> 299 : 11098
700 -> 780 : 3
0 -> 5 : 211246
219 -> 292 : 974
328 -> 716 : 11
453 -> 735 : 1
190 -> 826 : 1538
766 -> 138 : 1
448 -> 275 : 1
700 -> 450 : 1
893 -> 416 : 231
654 -> 45 : 17279
820 -> 864 : 1
185 -> 178 : 12722
57 -> 183 : 1189
178 -> 947 : 6401
190 -> 792 : 72
766 -> 652 : 2
770 -> 656 : 1760
652 -> 734 : 1
558 -> 667 : 534
299 -> 556 : 6324
457 -> 182 : 15
534 -> 629 : 190
328 -> 169 : 1
513 -> 809 : 149
200 -> 800 : 70
814 -> 374 : 2213
893 -> 360 : 81
667 -> 198 : 303
465 -> 413 : 686
190 -> 536 : 27
0 -> 716 : 26049
558 -> 561 : 299
450 -> 567 : 1
792 -> 829 : 8
169 -> 510 : 1
905 -> 402 : 1695
780 -> 772 : 2
111 -> 561 : 38
513 -> 838 : 295
608 -> 64 : 1
275 -> 557 : 1
323 -> 442 : 9
5 -> 941 : 138000
916 -> 153 : 1933
138 -> 227 : 1
814 -> 369 : 744
772 -> 717 : 1
402 -> 613 : 42
200 -> 821 : 3
905 -> 454 : 267
0 -> 723 : 30156
716 -> 167 : 8143
414 -> 383 : 2
465 -> 655 : 262
652 -> 594 : 1
296 -> 669 : 11351
360 -> 904 : 9
654 -> 985 : 4715
57 -> 207 : 1303
18 -> 488 : 2999
469 -> 540 : 1
219 -> 440 : 9
916 -> 674 : 7457
800 -> 612 : 33
303 -> 61 : 1205
674 -> 643 : 1122
45 -> 224 : 6733
213 -> 287 : 6
287 -> 385 : 2
402 -> 849 : 1151
780 -> 907 : 1
198 -> 431 : 6
200 -> 842 : 6
629 -> 936 : 22
904 -> 815 : 8
655 -> 966 : 136
811 -> 134 : 39237
842 -> 966 : 4
814 -> 831 : 277
831 -> 305 : 92
735 -> 600 : 1
385 -> 638 : 2
929 -> 673 : 1092
442 -> 739 : 4
613 -> 533 : 5
536 -> 873 : 10
743 -> 872 : 4
629 -> 727 : 166
815 -> 932 : 8
600 -> 339 : 1
941 -> 171 : 88411
557 -> 271 : 1
594 -> 294 : 1
533 -> 265 : 5
770 -> 505 : 3160
299 -> 199 : 2540
510 -> 624 : 1
809 -> 10 : 131
265 -> 819 : 1
873 -> 86 : 10
999 -> 148 : 17
224 -> 543 : 836
800 -> 6 : 28
700 -> 245 : 1
872 -> 869 : 2
667 -> 492 : 199
536 -> 526 : 6
743 -> 13 : 4
296 -> 200 : 10616
734 -> 494 : 1
287 -> 282 : 4
55 -> 717 : 15914
905 -> 13 : 10
488 -> 920 : 1377
457 -> 169 : 2
985 -> 64 : 3497
265 -> 379 : 3
655 -> 569 : 14
654 -> 633 : 72
716 -> 866 : 3278
936 -> 686 : 1
271 -> 88 : 1
265 -> 674 : 1
13 -> 37 : 3
936 -> 649 : 21
743 -> 518 : 2
673 -> 740 : 250
61 -> 510 : 752
169 -> 19 : 1
999 -> 36 : 44
374 -> 44 : 394
866 -> 466 : 1559
182 -> 922 : 10
198 -> 351 : 104
190 -> 914 : 30
182 -> 600 : 4
965 -> 376 : 319
543 -> 957 : 565
826 -> 559 : 235
869 -> 874 : 1
67 -> 912 : 1
45 -> 579 : 935
540 -> 911 : 1
608 -> 810 : 15
185 -> 923 : 11416
638 -> 598 : 2
842 -> 337 : 2
999 -> 966 : 50
339 -> 857 : 1
0 -> 142 : 29636
227 -> 917 : 1
569 -> 789 : 3
947 -> 393 : 5551
369 -> 790 : 569
740 -> 410 : 33
869 -> 173 : 1
558 -> 260 : 33
790 -> 551 : 545
454 -> 75 : 252
153 -> 626 : 896
505 -> 817 : 946
809 -> 297 : 7
55 -> 240 : 9663
282 -> 549 : 4
323 -> 843 : 2
874 -> 63 : 1
57 -> 164 : 488
526 -> 761 : 1
864 -> 320 : 1
558 -> 269 : 12
740 -> 282 : 115
838 -> 351 : 165
269 -> 874 : 7
810 -> 575 : 12
643 -> 649 : 552
305 -> 297 : 24
219 -> 195 : 1
559 -> 31 : 122
169 -> 867 : 1
633 -> 134 : 53
111 -> 756 : 36
907 -> 678 : 1
440 -> 658 : 7
379 -> 94 : 3
941 -> 883 : 16508
219 -> 278 : 2
360 -> 577 : 34
957 -> 858 : 320
559 -> 391 : 36
941 -> 188 : 25542
893 -> 744 : 16
893 -> 832 : 55
743 -> 202 : 9
142 -> 465 : 13651
669 -> 751 : 1664
558 -> 839 : 3
929 -> 572 : 1199
669 -> 938 : 6400
260 -> 908 : 7
821 -> 795 : 2
75 -> 621 : 50
843 -> 69 : 1
167 -> 997 : 36
966 -> 656 : 32
716 -> 618 : 14541
391 -> 377 : 24
966 -> 193 : 88
613 -> 818 : 30
282 -> 324 : 101
917 -> 708 : 1
643 -> 991 : 264
624 -> 520 : 1
351 -> 681 : 78
207 -> 6 : 1163
534 -> 68 : 120
626 -> 281 : 360
111 -> 561 : 6
872 -> 826 : 2
559 -> 35 : 47
492 -> 720 : 84
134 -> 983 : 15935
717 -> 719 : 1635
45 -> 323 : 2828
549 -> 64 : 3
228 -> 37 : 88
839 -> 633 : 1
520 -> 291 : 1
240 -> 723 : 146
914 -> 570 : 29
351 -> 526 : 19
515 -> 801 : 137
801 -> 274 : 107
369 -> 912 : 6
867 -> 49 : 1
649 -> 125 : 430
565 -> 824 : 1832
413 -> 197 : 192
13 -> 838 : 5
183 -> 25 : 251
814 -> 297 : 12
744 -> 316 : 1
556 -> 261 : 6180
274 -> 726 : 41
968 -> 316 : 3
800 -> 105 : 2
228 -> 640 : 2
305 -> 577 : 63
0 -> 550 : 156228
740 -> 358 : 81
320 -> 89 : 1
656 -> 923 : 370
654 -> 959 : 667
199 -> 754 : 729
819 -> 895 : 1
167 -> 139 : 7047
82 -> 1 : 15
213 -> 287 : 5
86 -> 410 : 5
303 -> 990 : 250
393 -> 594 : 5496
193 -> 260 : 15
197 -> 952 : 38
985 -> 862 : 424
923 -> 999 : 6144
572 -> 276 : 20
717 -> 349 : 13993
923 -> 91 : 4043
36 -> 378 : 32
185 -> 153 : 31210
358 -> 380 : 75
89 -> 992 : 1
556 -> 988 : 56
968 -> 236 : 1
743 -> 37 : 6
240 -> 746 : 6556
10 -> 410 : 60
966 -> 217 : 24
91 -> 594 : 3611
337 -> 868 : 2
756 -> 7 : 10
723 -> 362 : 23563
643 -> 48 : 118
789 -> 396 : 1
790 -> 123 : 11
37 -> 261 : 35
800 -> 575 : 4
849 -> 628 : 783
814 -> 862 : 16
183 -> 625 : 911
849 -> 120 : 345
403 -> 917 : 1988
234 -> 183 : 599
965 -> 604 : 317
843 -> 519 : 1
558 -> 141 : 21
920 -> 398 : 750
91 -> 109 : 122
608 -> 498 : 1
857 -> 144 : 1
49 -> 896 : 1
598 -> 15 : 1
5 -> 356 : 48771
905 -> 879 : 15
551 -> 556 : 490
10 -> 400 : 59
649 -> 307 : 8
274 -> 89 : 1
569 -> 73 : 11
292 -> 897 : 649
717 -> 438 : 35
457 -> 680 : 4
236 -> 964 : 1
167 -> 93 : 348
380 -> 886 : 40
720 -> 810 : 36
795 -> 38 : 1
640 -> 710 : 2
25 -> 366 : 147
469 -> 721 : 1
957 -> 592 : 148
369 -> 179 : 74
895 -> 585 : 1
579 -> 62 : 806
674 -> 806 : 6281
93 -> 5 : 74
402 -> 723 : 461
188 -> 76 : 23512
518 -> 102 : 1
513 -> 258 : 11
416 -> 771 : 204
48 -> 392 : 48
669 -> 187 : 1998
410 -> 997 : 3
727 -> 681 : 67
217 -> 644 : 19
294 -> 410 : 1
633 -> 727 : 7
466 -> 839 : 1294
258 -> 982 : 2
178 -> 789 : 1726
198 -> 427 : 72
109 -> 576 : 69
199 -> 499 : 641
649 -> 854 : 129
790 -> 349 : 11
457 -> 482 : 1
789 -> 853 : 1677
626 -> 538 : 184
398 -> 250 : 7
938 -> 465 : 1555
123 -> 152 : 9
62 -> 343 : 775
213 -> 446 : 1
278 -> 13 : 1
76 -> 182 : 4274
754 -> 182 : 707
655 -> 790 : 44
197 -> 15 : 144
746 -> 822 : 3361
628 -> 314 : 144
25 -> 209 : 63
396 -> 903 : 1
198 -> 844 : 12
324 -> 366 : 51
810 -> 695 : 37
488 -> 257 : 930
68 -> 317 : 90
250 -> 265 : 5
356 -> 891 : 28471
141 -> 710 : 21
442 -> 812 : 5
917 -> 91 : 1565
883 -> 178 : 1537
7 -> 899 : 6
866 -> 157 : 1681
576 -> 586 : 26
323 -> 678 : 913
618 -> 60 : 12970
832 -> 584 : 48
903 -> 449 : 1
874 -> 136 : 7
305 -> 98 : 4
292 -> 691 : 182
64 -> 8 : 2358
307 -> 611 : 5
245 -> 499 : 1
643 -> 236 : 6
31 -> 903 : 88
136 -> 708 : 3
592 -> 234 : 86
854 -> 326 : 21
360 -> 577 : 17
812 -> 813 : 2
916 -> 266 : 3879
991 -> 33 : 64
380 -> 345 : 28
427 -> 288 : 52
109 -> 343 : 41
678 -> 869 : 115
207 -> 545 : 54
144 -> 765 : 1
739 -> 628 : 2
7 -> 543 : 4
746 -> 954 : 2371
307 -> 435 : 1
751 -> 668 : 502
440 -> 844 : 2
142 -> 851 : 3308
274 -> 233 : 11
195 -> 127 : 1
526 -> 107 : 19
378 -> 994 : 29
754 -> 886 : 6
911 -> 511 : 1
275 -> 954 : 3
654 -> 367 : 3
269 -> 296 : 2
952 -> 466 : 14
446 -> 173 : 1
19 -> 532 : 1
814 -> 274 : 1
813 -> 390 : 2
345 -> 399 : 23
250 -> 677 : 1
291 -> 424 : 1
209 -> 620 : 25
109 -> 18 : 11
710 -> 447 : 10
275 -> 744 : 3
281 -> 6 : 186
366 -> 509 : 85
677 -> 820 : 1
536 -> 454 : 11
549 -> 869 : 1
952 -> 860 : 16
57 -> 270 : 56
832 -> 132 : 5
575 -> 877 : 16
152 -> 427 : 4
105 -> 797 : 2
438 -> 501 : 10
236 -> 87 : 5
577 -> 611 : 52
10 -> 77 : 10
896 -> 584 : 1
789 -> 319 : 42
765 -> 69 : 1
897 -> 866 : 508
654 -> 2 : 28
