Sender -> Receiver: Amount
0 -> 37 : 248469
37 -> 29 : 237274
37 -> 52 : 7976
0 -> 41 : 423985
41 -> 50 : 199736
0 -> 84 : 63209
50 -> 58 : 168072
37 -> 4 : 624
29 -> 28 : 213149
41 -> 61 : 97138
4 -> 21 : 563
41 -> 75 : 49809
4 -> 80 : 35
84 -> 66 : 62786
75 -> 22 : 40409
84 -> 48 : 407
0 -> 24 : 215054
37 -> 96 : 432
80 -> 89 : 16
22 -> 41 : 23593
29 -> 69 : 20853
89 -> 60 : 8
69 -> 0 : 18544
22 -> 72 : 3133
72 -> 14 : 2626
28 -> 62 : 75808
69 -> 80 : 1625
52 -> 18 : 7918
89 -> 3 : 7
14 -> 26 : 588
84 -> 18 : 8
22 -> 0 : 9617
96 -> 56 : 117
72 -> 74 : 95
74 -> 38 : 84
29 -> 69 : 1544
21 -> 32 : 42
3 -> 19 : 2
38 -> 79 : 67
4 -> 60 : 19
52 -> 38 : 42
0 -> 2 : 74660
60 -> 65 : 23
4 -> 76 : 6
80 -> 28 : 980
22 -> 25 : 1030
96 -> 26 : 61
21 -> 85 : 112
52 -> 20 : 13
22 -> 21 : 1124
22 -> 45 : 254
41 -> 8 : 58381
60 -> 64 : 4
48 -> 20 : 355
64 -> 10 : 3
22 -> 74 : 566
0 -> 22 : 1827
38 -> 93 : 14
58 -> 14 : 41163
45 -> 55 : 41
58 -> 77 : 15444
18 -> 94 : 6997
14 -> 61 : 17263
77 -> 20 : 9985
76 -> 43 : 1
48 -> 70 : 35
89 -> 76 : 1
4 -> 92 : 1
14 -> 98 : 1904
10 -> 82 : 3
84 -> 65 : 2
80 -> 83 : 512
83 -> 27 : 503
94 -> 14 : 2903
20 -> 14 : 8191
37 -> 82 : 1678
58 -> 6 : 87423
43 -> 49 : 1
56 -> 35 : 99
84 -> 65 : 3
28 -> 26 : 28595
0 -> 55 : 530
8 -> 85 : 23444
41 -> 55 : 555
25 -> 84 : 740
28 -> 52 : 102030
0 -> 91 : 69
32 -> 23 : 21
80 -> 75 : 18
82 -> 46 : 1049
80 -> 44 : 90
84 -> 83 : 258
64 -> 75 : 1
37 -> 58 : 243
56 -> 44 : 3
92 -> 83 : 1
3 -> 33 : 1
84 -> 8 : 127
61 -> 67 : 39618
83 -> 99 : 202
