Sender -> Receiver: Amount
0 -> 7673 : 564149
7673 -> 3869 : 549251
0 -> 2429 : 306770
0 -> 6827 : 91452
2429 -> 5609 : 7028
0 -> 6193 : 27043
3869 -> 1165 : 108790
7673 -> 2341 : 8854
0 -> 1119 : 5329
6827 -> 5958 : 1869
2429 -> 4338 : 166763
6193 -> 5527 : 18497
6827 -> 3481 : 17297
6827 -> 7756 : 16683
0 -> 2943 : 2323
2341 -> 2540 : 1955
5609 -> 104 : 4920
5609 -> 5960 : 271
3869 -> 9940 : 88675
9940 -> 7506 : 52724
7756 -> 5085 : 11592
5527 -> 7175 : 1570
7756 -> 6647 : 3749
1165 -> 8310 : 92671
5527 -> 9004 : 4087
2943 -> 9554 : 1505
5085 -> 5198 : 4733
5960 -> 8764 : 239
7756 -> 2007 : 374
9554 -> 8714 : 178
5527 -> 4870 : 6801
5198 -> 414 : 4297
0 -> 7999 : 1742
7175 -> 2135 : 1129
9004 -> 9853 : 3730
2429 -> 3101 : 101444
4338 -> 7001 : 13684
8310 -> 8316 : 34469
3869 -> 6190 : 282479
5527 -> 3659 : 2145
2540 -> 3612 : 522
6647 -> 8437 : 726
7175 -> 1858 : 357
7999 -> 1732 : 903
5609 -> 1707 : 710
1858 -> 9772 : 301
6647 -> 3737 : 3
7673 -> 2765 : 1284
9853 -> 1437 : 1966
7506 -> 186 : 33602
2429 -> 1597 : 16269
0 -> 5096 : 37
2007 -> 4098 : 365
3869 -> 4962 : 46513
7506 -> 5904 : 15482
4962 -> 8764 : 19670
8310 -> 7071 : 1093
3481 -> 299 : 13129
414 -> 902 : 2446
8316 -> 8813 : 1383
2341 -> 9513 : 2231
5958 -> 6063 : 1134
9004 -> 7830 : 178
5958 -> 7229 : 147
4870 -> 7746 : 3973
7673 -> 4656 : 216
6193 -> 6774 : 6876
2540 -> 5207 : 437
7175 -> 3933 : 75
7756 -> 4529 : 851
2135 -> 9062 : 579
2429 -> 4491 : 8332
104 -> 5710 : 430
3737 -> 7922 : 1
4098 -> 9998 : 196
5527 -> 6848 : 3801
9554 -> 7381 : 813
7830 -> 9887 : 56
7756 -> 3286 : 6
4870 -> 5511 : 2809
5904 -> 3450 : 6208
9554 -> 5360 : 113
9887 -> 4482 : 10
3101 -> 3377 : 77826
3101 -> 275 : 13218
8813 -> 4134 : 1300
3869 -> 5469 : 21864
3659 -> 4017 : 1023
1732 -> 9055 : 861
8310 -> 1145 : 44366
4134 -> 6073 : 3
9998 -> 2946 : 71
7071 -> 4383 : 266
3659 -> 6523 : 1109
6647 -> 912 : 477
4338 -> 9799 : 100771
3377 -> 342 : 49788
6193 -> 507 : 625
4098 -> 2362 : 43
9940 -> 9307 : 15329
9887 -> 1488 : 14
3481 -> 9003 : 3922
2135 -> 7862 : 67
9887 -> 8406 : 32
2362 -> 6511 : 16
6827 -> 6778 : 20819
4134 -> 2668 : 134
3659 -> 7756 : 11
4870 -> 142 : 5
3450 -> 3780 : 1272
275 -> 6584 : 3329
6190 -> 8123 : 162397
2007 -> 1861 : 1
6647 -> 9744 : 256
2429 -> 9355 : 2777
9004 -> 7762 : 58
9004 -> 3054 : 88
6523 -> 444 : 376
902 -> 8274 : 1394
2540 -> 3036 : 321
1707 -> 972 : 327
8764 -> 7819 : 359
0 -> 7845 : 529
7756 -> 2684 : 24
1165 -> 552 : 2060
8123 -> 8405 : 61385
3286 -> 901 : 5
9940 -> 3934 : 602
8405 -> 4043 : 60199
1861 -> 8233 : 1
9853 -> 9969 : 477
507 -> 2533 : 313
9062 -> 329 : 219
4482 -> 7056 : 3
7506 -> 794 : 997
5085 -> 4077 : 5152
6523 -> 154 : 673
9355 -> 5767 : 1416
275 -> 5661 : 5839
2668 -> 760 : 34
3101 -> 1181 : 7313
4338 -> 4476 : 48715
7756 -> 4854 : 50
8233 -> 6529 : 1
1181 -> 1667 : 2588
1597 -> 7184 : 5822
5958 -> 8791 : 64
6529 -> 6118 : 1
9307 -> 296 : 9122
9003 -> 3475 : 1251
7506 -> 4335 : 1871
7071 -> 1190 : 437
142 -> 6551 : 1
3286 -> 9572 : 1
4529 -> 4699 : 841
1732 -> 2906 : 37
1119 -> 2462 : 848
8714 -> 3631 : 104
296 -> 4044 : 2776
7819 -> 6579 : 154
104 -> 7335 : 4410
4476 -> 7010 : 39394
8437 -> 6469 : 529
3101 -> 1498 : 510
2429 -> 3552 : 2207
2462 -> 6811 : 454
7999 -> 125 : 160
5960 -> 5281 : 9
125 -> 9745 : 105
9853 -> 3809 : 633
7673 -> 4230 : 2816
9998 -> 334 : 118
902 -> 6756 : 599
1498 -> 7370 : 335
6579 -> 4771 : 90
3481 -> 1603 : 145
6190 -> 6644 : 14639
2533 -> 1240 : 2
2533 -> 5189 : 276
8813 -> 2242 : 26
6523 -> 3460 : 24
5469 -> 4424 : 12258
3054 -> 1419 : 87
104 -> 9246 : 10
5360 -> 370 : 83
760 -> 8633 : 20
6756 -> 2255 : 315
142 -> 9349 : 3
8714 -> 9284 : 67
3450 -> 5869 : 2410
444 -> 3654 : 315
4424 -> 6233 : 10868
3475 -> 6971 : 796
7830 -> 9371 : 40
1145 -> 6945 : 1340
7229 -> 2371 : 13
7001 -> 9673 : 847
275 -> 5520 : 3528
1419 -> 5814 : 54
4098 -> 3237 : 7
6233 -> 332 : 1931
5609 -> 9698 : 155
4044 -> 9487 : 2615
9307 -> 4447 : 2253
4338 -> 2537 : 1594
9004 -> 2031 : 9
2537 -> 9656 : 962
4476 -> 6708 : 5344
1181 -> 3914 : 2191
2684 -> 6305 : 12
5207 -> 8215 : 359
9349 -> 3246 : 1
1732 -> 6067 : 5
1437 -> 6831 : 1864
2537 -> 8213 : 587
9062 -> 7712 : 217
2540 -> 8627 : 140
3246 -> 1511 : 1
4529 -> 5523 : 2
9487 -> 2491 : 113
5085 -> 6341 : 312
5520 -> 8335 : 1466
6193 -> 7717 : 496
2255 -> 1505 : 38
3869 -> 1090 : 174
125 -> 2059 : 6
154 -> 8314 : 108
3631 -> 5544 : 80
329 -> 9159 : 75
8335 -> 3595 : 840
1858 -> 2908 : 7
5767 -> 4791 : 406
6341 -> 6359 : 33
4424 -> 6379 : 217
6831 -> 9728 : 1501
7071 -> 9790 : 68
9998 -> 4073 : 5
8405 -> 4959 : 122
7010 -> 7761 : 36932
1488 -> 9055 : 1
154 -> 5741 : 256
3631 -> 735 : 20
2255 -> 8718 : 237
4383 -> 4392 : 73
7175 -> 6627 : 3
7184 -> 4198 : 1342
5360 -> 5196 : 18
5904 -> 1395 : 576
8310 -> 5452 : 1787
7712 -> 2147 : 138
6811 -> 2826 : 349
104 -> 2340 : 4
8633 -> 5506 : 7
5469 -> 7249 : 8374
794 -> 1661 : 741
5196 -> 491 : 9
1858 -> 4104 : 38
3933 -> 6887 : 17
2946 -> 7742 : 14
6584 -> 6131 : 2763
1505 -> 1470 : 14
2684 -> 6594 : 4
6511 -> 3394 : 5
