Sender -> Receiver: Amount
0 -> 3627 : 640623
0 -> 5443 : 207179
3627 -> 541 : 614072
0 -> 3315 : 39416
0 -> 3288 : 41106
5443 -> 5012 : 86221
5012 -> 8162 : 16359
541 -> 1672 : 19009
0 -> 3881 : 29577
1672 -> 8869 : 11133
3315 -> 7167 : 1197
3627 -> 7045 : 10660
3627 -> 1929 : 12331
5443 -> 5418 : 5472
8162 -> 5365 : 13018
7045 -> 2489 : 3694
7045 -> 7651 : 6582
0 -> 9684 : 38918
8869 -> 2204 : 11041
541 -> 6911 : 270943
5443 -> 7708 : 61640
5365 -> 4729 : 2188
7651 -> 5410 : 3279
2489 -> 2711 : 495
8869 -> 7847 : 11
4729 -> 6505 : 1319
9684 -> 7182 : 15361
9684 -> 4250 : 9236
5012 -> 4886 : 7432
7167 -> 2660 : 1159
1672 -> 8710 : 778
4886 -> 6888 : 1737
5365 -> 9401 : 9699
5410 -> 847 : 2279
7182 -> 3098 : 8877
5365 -> 6874 : 235
4729 -> 32 : 299
4886 -> 3663 : 5496
7167 -> 2615 : 8
3315 -> 3593 : 24469
8162 -> 8882 : 192
2489 -> 8849 : 1250
2711 -> 2197 : 421
2204 -> 7891 : 4240
6888 -> 1878 : 1129
1878 -> 9256 : 1022
1672 -> 1898 : 5818
9256 -> 8958 : 609
6911 -> 3043 : 150942
8849 -> 7961 : 471
7708 -> 7571 : 5923
3593 -> 4505 : 13354
6888 -> 1385 : 608
6505 -> 591 : 93
1878 -> 609 : 15
3593 -> 5287 : 5635
9684 -> 2006 : 962
4505 -> 3966 : 13000
4886 -> 7033 : 174
1878 -> 5559 : 86
32 -> 8653 : 270
2489 -> 2083 : 1268
1385 -> 4623 : 501
9401 -> 1814 : 8165
9256 -> 8574 : 285
5365 -> 1521 : 744
1521 -> 546 : 152
2660 -> 2446 : 85
3966 -> 9082 : 11642
8653 -> 8998 : 186
546 -> 4102 : 74
3663 -> 1424 : 4625
4250 -> 4042 : 2741
4250 -> 682 : 5890
4042 -> 7585 : 1308
8882 -> 4500 : 133
2615 -> 4714 : 1
8162 -> 6833 : 1035
9256 -> 3970 : 29
3315 -> 9606 : 7596
7961 -> 7776 : 286
8958 -> 2872 : 328
4250 -> 7810 : 230
8653 -> 3741 : 83
8998 -> 8759 : 83
3970 -> 8604 : 18
4623 -> 5774 : 131
8604 -> 2086 : 13
3315 -> 8522 : 3138
609 -> 1350 : 10
4102 -> 1703 : 36
2660 -> 8650 : 1018
8869 -> 1590 : 35
8882 -> 1203 : 48
7182 -> 9219 : 5346
5559 -> 4793 : 1
3627 -> 6405 : 1496
7776 -> 456 : 46
1878 -> 8083 : 6
8083 -> 7795 : 6
9082 -> 1101 : 5709
1101 -> 5238 : 123
4505 -> 2467 : 15
7033 -> 8031 : 164
2204 -> 4470 : 6710
3741 -> 5213 : 74
4250 -> 162 : 283
4505 -> 3649 : 224
8958 -> 5628 : 8
3043 -> 3218 : 144606
8522 -> 9000 : 2308
2197 -> 8105 : 244
5418 -> 6427 : 78
3098 -> 4950 : 8507
2615 -> 6667 : 5
8031 -> 6357 : 113
5774 -> 7224 : 44
6667 -> 3835 : 4
1929 -> 8968 : 334
8998 -> 6238 : 22
4102 -> 7012 : 15
609 -> 988 : 5
7891 -> 7855 : 1405
2615 -> 1086 : 2
1703 -> 7853 : 5
7961 -> 9369 : 23
4729 -> 8617 : 221
9219 -> 9845 : 1268
1672 -> 1370 : 1190
3966 -> 4040 : 425
3593 -> 3799 : 555
6667 -> 9136 : 1
8968 -> 732 : 82
3663 -> 9851 : 531
2086 -> 8600 : 5
162 -> 6815 : 13
8600 -> 5842 : 4
4886 -> 3707 : 1
3218 -> 5081 : 62523
9845 -> 7409 : 964
9845 -> 5975 : 286
546 -> 6758 : 12
8882 -> 7791 : 6
8958 -> 3871 : 187
5410 -> 9253 : 651
7855 -> 8777 : 808
1929 -> 7172 : 5603
6874 -> 6305 : 63
8600 -> 2980 : 1
1590 -> 1503 : 10
8604 -> 6604 : 3
7853 -> 7550 : 3
7571 -> 6514 : 2119
9253 -> 3506 : 502
5287 -> 9759 : 2316
8759 -> 9511 : 12
8031 -> 5383 : 28
3799 -> 4848 : 477
3288 -> 7099 : 4182
5410 -> 7282 : 328
4102 -> 1194 : 20
4886 -> 2010 : 20
7033 -> 760 : 7
3835 -> 4882 : 3
9845 -> 1766 : 15
6514 -> 304 : 1634
32 -> 4096 : 17
3881 -> 306 : 8694
8522 -> 8731 : 714
4848 -> 9974 : 138
3649 -> 6714 : 96
5213 -> 8666 : 32
1590 -> 5405 : 25
9219 -> 6527 : 3887
546 -> 6019 : 26
3098 -> 3382 : 104
3593 -> 9503 : 4144
9974 -> 7307 : 116
4040 -> 4764 : 26
1521 -> 8248 : 557
9684 -> 1736 : 2084
3098 -> 4354 : 46
7708 -> 8625 : 31134
5559 -> 1524 : 11
9851 -> 8256 : 516
6911 -> 3008 : 24587
32 -> 1518 : 3
8653 -> 7373 : 1
6911 -> 8260 : 12607
8248 -> 2480 : 513
2197 -> 4850 : 66
5418 -> 7389 : 2793
1101 -> 6022 : 2915
7045 -> 718 : 61
3871 -> 755 : 74
2872 -> 9593 : 62
5405 -> 6938 : 19
8031 -> 6259 : 9
9511 -> 1997 : 12
0 -> 6385 : 685
3627 -> 7015 : 891
6019 -> 4418 : 20
1814 -> 9957 : 4051
7182 -> 8993 : 139
9369 -> 6553 : 19
9219 -> 7818 : 143
8031 -> 4927 : 13
8882 -> 4003 : 2
5081 -> 6463 : 34216
732 -> 425 : 56
5443 -> 5996 : 835
2711 -> 909 : 62
9136 -> 1585 : 1
6405 -> 4210 : 551
5383 -> 9197 : 2
8248 -> 2279 : 9
2083 -> 1994 : 1010
5383 -> 595 : 23
755 -> 9008 : 43
2279 -> 4248 : 3
4102 -> 4221 : 3
755 -> 5653 : 1
4040 -> 8715 : 263
7853 -> 8812 : 1
9503 -> 2808 : 761
4882 -> 6242 : 2
2808 -> 9129 : 39
9974 -> 3271 : 17
8849 -> 7836 : 133
4882 -> 5038 : 1
682 -> 9468 : 5665
3271 -> 7573 : 17
7585 -> 7429 : 479
4221 -> 8196 : 1
3506 -> 8623 : 198
6527 -> 9839 : 2076
6758 -> 9602 : 12
4850 -> 4280 : 14
5628 -> 9740 : 1
1424 -> 1624 : 2555
5383 -> 4541 : 3
9684 -> 1606 : 1014
7853 -> 3859 : 1
7045 -> 5291 : 29
4848 -> 2204 : 289
2489 -> 9016 : 131
3218 -> 4158 : 41506
7573 -> 5912 : 3
7012 -> 9336 : 4
3835 -> 9239 : 1
5842 -> 9540 : 2
8882 -> 8052 : 2
425 -> 7465 : 42
1606 -> 4273 : 948
8623 -> 5372 : 67
6305 -> 4819 : 34
4500 -> 5576 : 12
9082 -> 6204 : 3271
3098 -> 1031 : 100
1736 -> 1893 : 230
4096 -> 7369 : 15
0 -> 8770 : 959
7172 -> 6933 : 473
7847 -> 6327 : 10
5405 -> 5352 : 5
1524 -> 4 : 8
9851 -> 959 : 11
9851 -> 1535 : 3
3315 -> 2186 : 2671
988 -> 4865 : 1
1624 -> 1638 : 495
7307 -> 7535 : 77
5291 -> 8426 : 7
3663 -> 6468 : 334
1814 -> 6703 : 18
7651 -> 7152 : 706
1929 -> 8817 : 4468
3649 -> 9637 : 64
456 -> 8331 : 37
7033 -> 3352 : 3
9016 -> 1427 : 52
2808 -> 4460 : 607
5653 -> 1609 : 1
306 -> 530 : 980
1194 -> 8188 : 8
306 -> 499 : 2778
9839 -> 8385 : 2067
8260 -> 7860 : 8455
682 -> 4720 : 209
5410 -> 4163 : 14
8188 -> 4655 : 5
1535 -> 8663 : 3
3627 -> 3231 : 288
9540 -> 2020 : 2
9845 -> 597 : 3
595 -> 8043 : 17
4273 -> 127 : 904
5559 -> 1388 : 12
8162 -> 9267 : 1310
1388 -> 53 : 2
2010 -> 7471 : 10
9253 -> 1163 : 138
7182 -> 6120 : 569
0 -> 1292 : 220
4003 -> 1920 : 2
8617 -> 5670 : 156
8625 -> 8139 : 19168
7015 -> 8344 : 574
4793 -> 9895 : 1
5287 -> 4535 : 2036
2197 -> 963 : 80
3506 -> 646 : 131
3707 -> 9295 : 1
3352 -> 2364 : 3
5291 -> 6211 : 8
1427 -> 1095 : 48
1893 -> 152 : 116
9593 -> 5044 : 33
9593 -> 3314 : 15
304 -> 1763 : 1310
541 -> 4952 : 212145
9016 -> 8158 : 60
4280 -> 4328 : 12
8260 -> 7850 : 1468
8385 -> 5877 : 47
9129 -> 6413 : 24
4158 -> 6267 : 16932
2467 -> 4818 : 11
1503 -> 7344 : 5
8617 -> 4543 : 11
8105 -> 5225 : 138
5365 -> 7416 : 77
5405 -> 2710 : 1
3799 -> 4833 : 57
6527 -> 6044 : 411
1424 -> 1508 : 1629
8031 -> 777 : 1
8331 -> 5800 : 23
2808 -> 7666 : 67
9851 -> 7340 : 1
5365 -> 6748 : 6
499 -> 4265 : 2220
1624 -> 9592 : 25
3231 -> 9803 : 274
9592 -> 559 : 18
9684 -> 266 : 5438
1672 -> 5899 : 32
9957 -> 7116 : 1222
2086 -> 7323 : 2
6553 -> 7723 : 16
4543 -> 3855 : 3
8188 -> 7230 : 2
4764 -> 9804 : 10
4950 -> 4391 : 1082
7307 -> 1133 : 13
4354 -> 5260 : 10
5443 -> 4554 : 3191
9129 -> 5746 : 7
4848 -> 4690 : 8
6911 -> 7824 : 49700
6305 -> 1839 : 14
8344 -> 3637 : 104
5559 -> 7739 : 29
2186 -> 9334 : 986
1736 -> 1921 : 1815
1521 -> 475 : 18
5877 -> 70 : 21
6120 -> 5157 : 520
8869 -> 3725 : 25
959 -> 9445 : 9
9253 -> 8842 : 1
5842 -> 9741 : 2
2186 -> 6644 : 587
1606 -> 4960 : 53
4354 -> 498 : 3
9334 -> 8227 : 351
4210 -> 140 : 372
4273 -> 5458 : 19
9803 -> 3978 : 203
6022 -> 4978 : 36
9295 -> 8815 : 1
9082 -> 7895 : 1355
1609 -> 3406 : 1
6514 -> 2913 : 460
6815 -> 7314 : 4
9267 -> 5283 : 1159
4505 -> 6791 : 43
718 -> 8149 : 28
4505 -> 5669 : 44
4554 -> 6677 : 159
7723 -> 3094 : 13
7810 -> 50 : 81
3406 -> 8361 : 1
6267 -> 6706 : 16450
5238 -> 2839 : 56
8149 -> 3323 : 26
1424 -> 8338 : 106
1898 -> 5519 : 5301
3314 -> 423 : 2
6604 -> 8874 : 2
4391 -> 7470 : 1055
8968 -> 8645 : 61
559 -> 1618 : 8
1350 -> 5643 : 3
2480 -> 5014 : 350
266 -> 7746 : 2430
425 -> 1779 : 5
