Sender -> Receiver: Amount
0 -> 4564 : 918398
0 -> 4728 : 43010
4728 -> 793 : 9674
4728 -> 5406 : 30293
4728 -> 4299 : 1868
4299 -> 8241 : 269
5406 -> 1727 : 23516
4564 -> 1235 : 676849
8241 -> 3530 : 146
793 -> 7564 : 1702
793 -> 4358 : 7035
1727 -> 3990 : 17745
1235 -> 7498 : 569193
3990 -> 1205 : 8107
7498 -> 7786 : 411491
7498 -> 4847 : 65712
4728 -> 5975 : 908
7564 -> 4811 : 397
4811 -> 7418 : 192
4358 -> 1973 : 53
3530 -> 9059 : 55
7498 -> 186 : 89620
7418 -> 916 : 98
1727 -> 6170 : 891
7564 -> 188 : 153
7418 -> 6929 : 52
6929 -> 9197 : 47
8241 -> 5883 : 86
3990 -> 7710 : 1698
7786 -> 1570 : 214467
3990 -> 3116 : 5755
5975 -> 915 : 383
1727 -> 8095 : 4702
4564 -> 6317 : 123266
916 -> 4493 : 60
4564 -> 3061 : 12984
7786 -> 5152 : 89591
4728 -> 1228 : 264
4564 -> 7406 : 54520
1973 -> 7795 : 15
4299 -> 1711 : 1535
1228 -> 5286 : 16
7498 -> 257 : 1163
188 -> 3708 : 127
5883 -> 2474 : 80
5406 -> 449 : 3395
7498 -> 4989 : 1138
5152 -> 3505 : 49809
7564 -> 7371 : 590
2474 -> 5073 : 80
3116 -> 1506 : 3512
1506 -> 9811 : 72
9811 -> 6886 : 59
4847 -> 862 : 4203
4299 -> 3680 : 22
7710 -> 2142 : 1029
4358 -> 2360 : 5971
7418 -> 6530 : 37
6317 -> 639 : 77980
449 -> 7531 : 659
5883 -> 710 : 4
1711 -> 5923 : 262
186 -> 2625 : 3142
6170 -> 8261 : 545
4564 -> 2454 : 22150
862 -> 6814 : 2662
186 -> 5406 : 85735
6170 -> 8225 : 296
5406 -> 3875 : 65518
639 -> 1357 : 49140
7406 -> 8570 : 674
6317 -> 5574 : 37065
4358 -> 128 : 389
6886 -> 1951 : 22
793 -> 7932 : 215
4564 -> 9474 : 26820
6317 -> 9678 : 7914
8225 -> 7821 : 229
128 -> 6793 : 322
8570 -> 5679 : 451
5152 -> 3748 : 25111
6886 -> 7681 : 29
9678 -> 5021 : 4479
2625 -> 9613 : 649
9678 -> 9828 : 1149
7564 -> 8549 : 406
1205 -> 8085 : 1732
1205 -> 524 : 5478
7371 -> 1839 : 82
7821 -> 7769 : 68
0 -> 6270 : 16353
9828 -> 1362 : 238
4564 -> 435 : 660
639 -> 100 : 2510
257 -> 7374 : 924
524 -> 544 : 2196
3116 -> 7854 : 1357
5679 -> 104 : 342
5923 -> 718 : 261
128 -> 8807 : 60
2454 -> 8648 : 4359
