Sender -> Receiver: Amount
0 -> 73 : 603459
73 -> 44 : 151978
44 -> 65 : 101442
65 -> 47 : 48227
65 -> 2 : 13714
2 -> 50 : 996
0 -> 35 : 216303
50 -> 94 : 716
47 -> 34 : 13044
73 -> 26 : 315585
94 -> 19 : 255
44 -> 10 : 5803
19 -> 74 : 253
94 -> 28 : 229
65 -> 14 : 35387
34 -> 18 : 12946
65 -> 2 : 3912
14 -> 78 : 4810
44 -> 55 : 20454
94 -> 74 : 9
44 -> 55 : 21557
78 -> 71 : 3506
50 -> 95 : 34
14 -> 81 : 134
50 -> 62 : 149
55 -> 53 : 9670
34 -> 2 : 64
34 -> 68 : 17
73 -> 43 : 114900
95 -> 80 : 8
71 -> 65 : 2610
62 -> 53 : 7
74 -> 32 : 129
81 -> 32 : 3
74 -> 88 : 74
73 -> 11 : 10
62 -> 13 : 117
71 -> 30 : 25
73 -> 20 : 15599
71 -> 13 : 440
80 -> 22 : 4
53 -> 27 : 6910
73 -> 94 : 4306
13 -> 59 : 423
32 -> 24 : 14
35 -> 70 : 56705
71 -> 49 : 75
11 -> 42 : 9
88 -> 87 : 36
35 -> 36 : 12913
70 -> 30 : 7758
18 -> 36 : 3584
30 -> 50 : 1635
71 -> 39 : 77
22 -> 86 : 2
95 -> 46 : 23
86 -> 69 : 1
70 -> 15 : 5521
28 -> 29 : 5
46 -> 21 : 8
39 -> 3 : 70
2 -> 26 : 1283
53 -> 20 : 1014
65 -> 90 : 859
13 -> 34 : 71
21 -> 95 : 8
15 -> 24 : 5288
71 -> 22 : 185
68 -> 75 : 15
42 -> 61 : 3
28 -> 39 : 151
20 -> 78 : 11514
19 -> 9 : 2
2 -> 77 : 5256
36 -> 21 : 3475
65 -> 57 : 1805
69 -> 84 : 1
59 -> 38 : 49
28 -> 36 : 49
59 -> 50 : 352
3 -> 89 : 63
78 -> 33 : 5227
86 -> 74 : 1
81 -> 74 : 46
55 -> 85 : 29424
11 -> 23 : 1
26 -> 72 : 212050
57 -> 44 : 1440
46 -> 33 : 1
90 -> 57 : 646
9 -> 87 : 1
23 -> 77 : 1
14 -> 84 : 26882
65 -> 70 : 5
0 -> 77 : 58549
55 -> 43 : 413
38 -> 49 : 48
62 -> 44 : 4
43 -> 95 : 55471
61 -> 7 : 2
