Sender -> Receiver: Amount
0 -> 45 : 212843
0 -> 59 : 209942
0 -> 28 : 197538
0 -> 62 : 334243
62 -> 49 : 94272
0 -> 22 : 1463
59 -> 18 : 122230
22 -> 18 : 1236
0 -> 24 : 24797
28 -> 3 : 91739
45 -> 85 : 107641
18 -> 37 : 102700
37 -> 97 : 24723
18 -> 58 : 1577
0 -> 91 : 1692
85 -> 67 : 30842
28 -> 53 : 54055
24 -> 76 : 12215
37 -> 60 : 17047
67 -> 60 : 7643
97 -> 69 : 12222
49 -> 99 : 31609
24 -> 9 : 1604
69 -> 50 : 11793
0 -> 28 : 15454
53 -> 5 : 19434
5 -> 59 : 6060
5 -> 36 : 4274
85 -> 66 : 7996
22 -> 34 : 153
62 -> 22 : 17522
0 -> 75 : 1154
76 -> 23 : 8739
67 -> 79 : 9642
59 -> 20 : 53334
75 -> 33 : 427
62 -> 37 : 206539
62 -> 39 : 14781
85 -> 8 : 15654
99 -> 28 : 10016
59 -> 55 : 296
36 -> 9 : 2115
69 -> 37 : 363
9 -> 4 : 2284
79 -> 7 : 3468
4 -> 37 : 908
97 -> 83 : 896
18 -> 17 : 17801
23 -> 46 : 7138
9 -> 63 : 1370
9 -> 0 : 49
23 -> 3 : 1546
3 -> 56 : 69187
62 -> 16 : 1084
55 -> 38 : 249
83 -> 33 : 673
16 -> 59 : 577
67 -> 83 : 10921
16 -> 83 : 96
34 -> 67 : 91
24 -> 42 : 4834
4 -> 27 : 717
53 -> 79 : 30530
62 -> 63 : 8
97 -> 85 : 940
8 -> 59 : 6083
0 -> 86 : 122
55 -> 39 : 26
46 -> 65 : 6952
36 -> 23 : 1428
24 -> 77 : 4160
66 -> 56 : 3022
22 -> 56 : 15668
7 -> 48 : 2102
9 -> 83 : 2
91 -> 71 : 1508
63 -> 41 : 602
20 -> 61 : 52166
97 -> 16 : 6013
39 -> 70 : 9540
91 -> 52 : 59
46 -> 82 : 125
75 -> 24 : 723
58 -> 17 : 1292
22 -> 95 : 1312
75 -> 30 : 3
28 -> 93 : 13921
77 -> 51 : 1319
42 -> 82 : 423
76 -> 65 : 1055
65 -> 93 : 3600
79 -> 43 : 12367
9 -> 91 : 1
91 -> 72 : 33
9 -> 60 : 2
36 -> 73 : 359
60 -> 4 : 16148
43 -> 64 : 11633
36 -> 58 : 112
23 -> 46 : 629
