Sender -> Receiver: Amount
0 -> 984556 : 725407
0 -> 628195 : 47602
0 -> 419484 : 84020
628195 -> 143535 : 33289
143535 -> 921628 : 9456
921628 -> 480642 : 5583
419484 -> 120052 : 15910
419484 -> 99277 : 40799
419484 -> 951094 : 22309
120052 -> 936620 : 14708
921628 -> 382883 : 970
0 -> 575884 : 123518
921628 -> 844466 : 73
575884 -> 802097 : 90227
921628 -> 684513 : 2490
382883 -> 943137 : 381
628195 -> 725085 : 3027
936620 -> 401658 : 8863
419484 -> 474844 : 2870
382883 -> 859167 : 269
844466 -> 733166 : 67
943137 -> 430922 : 145
382883 -> 386157 : 65
725085 -> 623883 : 2005
628195 -> 268785 : 2205
386157 -> 650170 : 65
120052 -> 89516 : 821
725085 -> 403148 : 444
921628 -> 566105 : 298
859167 -> 816811 : 139
628195 -> 855385 : 694
623883 -> 487641 : 13
936620 -> 83659 : 4965
859167 -> 27885 : 54
859167 -> 446351 : 63
984556 -> 986340 : 480057
83659 -> 806416 : 3761
986340 -> 841240 : 173658
816811 -> 706949 : 87
382883 -> 487072 : 108
628195 -> 41022 : 1350
382883 -> 448208 : 54
623883 -> 627255 : 1722
628195 -> 268091 : 6567
268091 -> 14139 : 5629
27885 -> 89836 : 36
487641 -> 94899 : 12
936620 -> 389689 : 98
855385 -> 210047 : 447
403148 -> 245933 : 251
627255 -> 501699 : 1015
859167 -> 944668 : 9
706949 -> 378291 : 53
733166 -> 253986 : 34
921628 -> 936100 : 34
403148 -> 897361 : 56
623883 -> 954263 : 188
268785 -> 528656 : 225
501699 -> 647522 : 526
566105 -> 918435 : 201
936100 -> 703638 : 33
448208 -> 890860 : 16
430922 -> 273835 : 13
936100 -> 910542 : 1
897361 -> 578846 : 35
210047 -> 434221 : 271
566105 -> 936671 : 9
733166 -> 449830 : 15
0 -> 400210 : 3154
918435 -> 97362 : 136
954263 -> 580504 : 171
944668 -> 672820 : 5
27885 -> 725334 : 8
446351 -> 432793 : 28
268785 -> 829518 : 1615
684513 -> 129041 : 627
83659 -> 825551 : 361
627255 -> 625648 : 135
474844 -> 307369 : 28
943137 -> 65186 : 235
446351 -> 807575 : 3
528656 -> 328479 : 21
816811 -> 485978 : 32
578846 -> 135616 : 9
389689 -> 950095 : 36
378291 -> 274303 : 43
650170 -> 155256 : 42
986340 -> 391832 : 100078
89516 -> 905306 : 180
434221 -> 463687 : 69
400210 -> 27426 : 2182
986340 -> 839130 : 85629
253986 -> 313594 : 19
986340 -> 38790 : 13427
839130 -> 847745 : 20683
628195 -> 178369 : 129
825551 -> 945438 : 233
253986 -> 451319 : 6
918435 -> 745267 : 64
434221 -> 111009 : 105
984556 -> 504501 : 99729
918435 -> 592693 : 1
129041 -> 166129 : 591
945438 -> 965261 : 54
943137 -> 463487 : 1
706949 -> 338088 : 23
487641 -> 67645 : 1
592693 -> 523540 : 1
14139 -> 980840 : 2664
984556 -> 159294 : 48107
485978 -> 278906 : 13
905306 -> 887108 : 30
816811 -> 71866 : 8
401658 -> 973743 : 3548
625648 -> 824587 : 41
623883 -> 6174 : 34
973743 -> 428230 : 1953
83659 -> 170687 : 767
434221 -> 481459 : 52
428230 -> 555474 : 779
94899 -> 741347 : 3
580504 -> 550916 : 95
986340 -> 517166 : 31553
178369 -> 864123 : 103
83659 -> 911131 : 12
