Sender -> Receiver: Amount
0 -> 873 : 903384
873 -> 123 : 382266
123 -> 83 : 83737
83 -> 691 : 18689
83 -> 786 : 23512
691 -> 793 : 6787
786 -> 122 : 23034
793 -> 838 : 48
691 -> 398 : 11683
873 -> 512 : 456618
122 -> 67 : 8506
691 -> 267 : 103
267 -> 424 : 52
123 -> 581 : 65222
424 -> 757 : 20
83 -> 616 : 38263
581 -> 398 : 9499
67 -> 336 : 7606
793 -> 257 : 6543
691 -> 465 : 34
0 -> 336 : 67268
793 -> 1 : 11
398 -> 166 : 10588
512 -> 374 : 220425
581 -> 831 : 34380
512 -> 761 : 115870
691 -> 650 : 17
83 -> 634 : 864
512 -> 96 : 73801
166 -> 337 : 8941
465 -> 354 : 23
354 -> 940 : 14
96 -> 548 : 4855
123 -> 396 : 86601
257 -> 442 : 225
96 -> 973 : 62908
757 -> 150 : 15
757 -> 195 : 5
354 -> 491 : 7
374 -> 253 : 6000
398 -> 372 : 7794
650 -> 490 : 4
257 -> 240 : 2350
398 -> 585 : 1105
67 -> 679 : 10
679 -> 16 : 3
240 -> 303 : 737
123 -> 402 : 65474
96 -> 353 : 50
83 -> 553 : 212
150 -> 648 : 14
1 -> 743 : 6
831 -> 228 : 30545
353 -> 784 : 14
16 -> 558 : 3
558 -> 688 : 2
558 -> 687 : 1
424 -> 973 : 14
257 -> 201 : 742
398 -> 932 : 985
585 -> 508 : 33
508 -> 431 : 26
431 -> 98 : 16
691 -> 962 : 36
336 -> 789 : 56779
932 -> 409 : 805
303 -> 301 : 468
166 -> 427 : 818
396 -> 943 : 30749
1 -> 163 : 2
240 -> 586 : 95
374 -> 973 : 111060
932 -> 329 : 99
122 -> 157 : 655
932 -> 502 : 23
98 -> 328 : 12
83 -> 225 : 2002
873 -> 646 : 53187
228 -> 286 : 20302
838 -> 339 : 4
873 -> 426 : 5087
328 -> 388 : 4
0 -> 146 : 7440
585 -> 944 : 679
257 -> 430 : 2367
962 -> 131 : 31
96 -> 934 : 5143
388 -> 403 : 2
98 -> 703 : 2
195 -> 275 : 2
491 -> 672 : 6
398 -> 778 : 601
353 -> 213 : 26
303 -> 891 : 158
427 -> 961 : 691
150 -> 445 : 1
98 -> 974 : 1
646 -> 527 : 26870
339 -> 578 : 4
374 -> 174 : 98031
962 -> 560 : 4
973 -> 634 : 43247
213 -> 372 : 10
974 -> 869 : 1
195 -> 266 : 1
932 -> 442 : 31
83 -> 593 : 67
838 -> 534 : 24
943 -> 343 : 12703
634 -> 862 : 324
409 -> 416 : 487
257 -> 841 : 649
303 -> 146 : 62
328 -> 992 : 3
688 -> 276 : 1
934 -> 940 : 1663
650 -> 132 : 1
646 -> 597 : 2020
838 -> 176 : 1
388 -> 895 : 2
932 -> 154 : 23
841 -> 430 : 75
275 -> 987 : 2
122 -> 385 : 1760
131 -> 114 : 8
943 -> 71 : 9114
838 -> 750 : 6
646 -> 265 : 12767
578 -> 232 : 3
585 -> 403 : 313
176 -> 277 : 1
0 -> 2 : 13488
132 -> 825 : 1
932 -> 229 : 1
786 -> 648 : 185
944 -> 514 : 199
427 -> 281 : 19
286 -> 288 : 13328
490 -> 353 : 3
431 -> 179 : 4
179 -> 844 : 1
646 -> 410 : 3519
179 -> 35 : 1
354 -> 814 : 1
257 -> 881 : 202
213 -> 333 : 9
333 -> 51 : 7
288 -> 240 : 11548
372 -> 692 : 7080
253 -> 967 : 873
114 -> 573 : 7
329 -> 929 : 94
98 -> 253 : 1
929 -> 429 : 39
0 -> 113 : 6369
426 -> 954 : 1157
743 -> 441 : 6
303 -> 742 : 49
398 -> 420 : 12
441 -> 988 : 2
742 -> 48 : 32
2 -> 642 : 10483
426 -> 24 : 1806
954 -> 543 : 722
329 -> 210 : 2
672 -> 178 : 6
329 -> 570 : 1
328 -> 175 : 5
873 -> 924 : 1599
831 -> 504 : 187
502 -> 418 : 4
553 -> 647 : 44
416 -> 713 : 17
750 -> 963 : 6
420 -> 106 : 10
616 -> 113 : 36742
703 -> 400 : 1
508 -> 941 : 7
266 -> 579 : 1
940 -> 997 : 1382
692 -> 561 : 2071
286 -> 632 : 2299
427 -> 341 : 107
24 -> 477 : 1247
831 -> 815 : 65
586 -> 409 : 53
343 -> 47 : 4872
424 -> 347 : 2
166 -> 955 : 395
288 -> 184 : 1493
997 -> 648 : 1235
512 -> 796 : 20548
163 -> 386 : 1
442 -> 211 : 54
418 -> 701 : 3
0 -> 698 : 1738
648 -> 974 : 1036
265 -> 930 : 33
973 -> 798 : 24200
841 -> 810 : 189
943 -> 773 : 224
122 -> 9 : 1629
570 -> 376 : 1
427 -> 200 : 1
341 -> 33 : 66
225 -> 65 : 1209
253 -> 232 : 3285
504 -> 269 : 12
343 -> 755 : 931
974 -> 599 : 559
793 -> 566 : 48
599 -> 645 : 536
48 -> 43 : 22
376 -> 56 : 1
987 -> 720 : 2
166 -> 977 : 231
347 -> 141 : 2
579 -> 717 : 1
940 -> 163 : 233
642 -> 343 : 4063
396 -> 70 : 28701
873 -> 7 : 4405
333 -> 251 : 2
286 -> 668 : 3896
442 -> 123 : 193
51 -> 146 : 1
201 -> 802 : 448
2 -> 646 : 556
646 -> 886 : 5227
424 -> 575 : 5
420 -> 772 : 1
742 -> 794 : 7
632 -> 472 : 1988
0 -> 255 : 255
491 -> 629 : 1
201 -> 298 : 26
941 -> 378 : 1
575 -> 522 : 2
43 -> 355 : 11
634 -> 458 : 13804
424 -> 549 : 8
967 -> 701 : 453
429 -> 787 : 19
430 -> 635 : 577
512 -> 781 : 2004
1 -> 292 : 2
35 -> 944 : 1
772 -> 235 : 1
646 -> 629 : 649
549 -> 727 : 8
512 -> 996 : 22824
195 -> 854 : 2
798 -> 699 : 9992
988 -> 766 : 2
429 -> 384 : 5
200 -> 973 : 1
553 -> 222 : 101
232 -> 499 : 607
465 -> 719 : 11
251 -> 664 : 2
292 -> 805 : 2
288 -> 780 : 195
815 -> 912 : 63
815 -> 703 : 2
281 -> 69 : 13
445 -> 881 : 1
761 -> 78 : 93596
534 -> 625 : 1
810 -> 243 : 92
930 -> 159 : 20
301 -> 71 : 101
886 -> 62 : 3167
963 -> 649 : 4
973 -> 127 : 85299
355 -> 381 : 7
281 -> 658 : 6
789 -> 115 : 30691
650 -> 669 : 5
396 -> 901 : 11876
372 -> 384 : 204
629 -> 528 : 550
802 -> 960 : 383
222 -> 2 : 100
527 -> 777 : 20003
974 -> 228 : 338
698 -> 923 : 358
869 -> 949 : 1
83 -> 635 : 81
477 -> 653 : 1170
941 -> 630 : 5
997 -> 66 : 38
9 -> 35 : 22
585 -> 232 : 33
33 -> 634 : 27
225 -> 785 : 792
235 -> 33 : 1
