Sender -> Receiver: Amount
0 -> 5482 : 648234
0 -> 8894 : 273598
5482 -> 1089 : 37917
1089 -> 6229 : 29588
8894 -> 4982 : 43852
5482 -> 396 : 324101
396 -> 1742 : 20451
1742 -> 9648 : 11808
6229 -> 6273 : 18261
396 -> 4585 : 252984
1089 -> 8490 : 3655
396 -> 7113 : 31181
9648 -> 414 : 3483
6273 -> 6517 : 9151
8490 -> 2977 : 1037
9648 -> 2671 : 2438
7113 -> 4857 : 23842
396 -> 6264 : 5166
9648 -> 8932 : 4234
2977 -> 384 : 1037
7113 -> 2425 : 926
2425 -> 3794 : 81
9648 -> 7377 : 1325
6517 -> 3928 : 3881
2671 -> 3545 : 87
8932 -> 1991 : 1493
0 -> 6063 : 72792
4982 -> 695 : 20994
7377 -> 8494 : 82
8932 -> 4307 : 907
1991 -> 6866 : 404
6229 -> 9159 : 11312
6273 -> 776 : 2647
1742 -> 1492 : 1048
8494 -> 381 : 35
6063 -> 9002 : 7829
6517 -> 5755 : 2911
9648 -> 527 : 315
414 -> 6417 : 2413
381 -> 2178 : 29
6273 -> 3071 : 2072
695 -> 5992 : 16139
3545 -> 4106 : 73
8932 -> 4350 : 1190
4307 -> 1042 : 14
3928 -> 9102 : 800
4982 -> 1811 : 19032
5992 -> 5261 : 6356
2671 -> 2619 : 1132
2178 -> 3737 : 9
7113 -> 2048 : 66
6264 -> 7911 : 3624
2048 -> 3088 : 46
8932 -> 9 : 410
384 -> 8283 : 643
3737 -> 8283 : 9
8494 -> 3655 : 22
6273 -> 7627 : 1865
8283 -> 7139 : 486
7627 -> 4496 : 1454
2671 -> 4803 : 918
9002 -> 4830 : 614
8894 -> 8813 : 78406
5755 -> 1648 : 2306
2048 -> 947 : 18
0 -> 5335 : 4159
947 -> 2691 : 11
6866 -> 1750 : 38
947 -> 2353 : 4
8494 -> 4538 : 7
2671 -> 7797 : 98
5482 -> 492 : 35550
8932 -> 4605 : 177
0 -> 934 : 1048
6866 -> 2158 : 168
3088 -> 1097 : 17
4307 -> 3744 : 752
396 -> 6000 : 160
5755 -> 4851 : 400
9648 -> 9741 : 3
6273 -> 3310 : 757
0 -> 6111 : 8
5482 -> 1644 : 117268
4982 -> 1387 : 880
2671 -> 1979 : 158
7797 -> 620 : 97
3310 -> 3588 : 650
9002 -> 5781 : 7062
5261 -> 3951 : 3060
6063 -> 4578 : 25647
8894 -> 812 : 146570
384 -> 1138 : 244
812 -> 488 : 46375
6063 -> 3544 : 10543
7377 -> 7667 : 173
492 -> 3038 : 21150
6229 -> 2250 : 15
1811 -> 8637 : 10509
7139 -> 9676 : 132
9102 -> 2636 : 789
